,danceability,energy,loudness,tempo,valence
1958-10-08,0.5588510638297876,0.4948797872340425,10.42391489361702,123.59538297872344,0.5347042553191491
1958-12-22,0.5907634408602149,0.5596440860215055,9.21679569892473,120.92055913978494,0.5735978494623655
1959-03-07,0.5454347826086957,0.521807608695652,9.948478260869566,113.62339130434783,0.5314293478260871
1959-05-21,0.5691237113402062,0.5716711340206183,9.401278350515463,122.45940206185571,0.5649979381443299
1959-08-04,0.5948350515463917,0.5771693814432989,9.370484536082476,119.82282474226808,0.6271453608247426
1959-10-18,0.5637494736842106,0.5506021052631576,9.784252631578948,119.82703157894741,0.5326548421052633
1960-01-01,0.5638279569892473,0.4944483870967742,9.783279569892473,121.88306451612907,0.5376408602150538
1960-03-16,0.5631836734693878,0.5315724489795921,9.247581632653059,122.00589795918371,0.569684693877551
1960-05-30,0.5569479166666665,0.5575708333333332,9.313427083333336,116.26040624999996,0.5489842708333332
1960-08-13,0.5348280898876409,0.5271865168539326,9.693056179775278,121.55729213483141,0.5664168539325845
1960-10-27,0.5438074468085107,0.5260712765957449,10.288595744680848,115.39813829787235,0.5895202127659577
1961-01-11,0.5466914893617021,0.527251063829787,9.314063829787237,117.55301063829788,0.5280287234042554
1961-03-27,0.5611789473684212,0.5134587368421054,10.231073684210523,115.1981894736842,0.5577422105263156
1961-06-10,0.5655729166666665,0.5233373958333329,9.408104166666664,113.12591666666668,0.5774937500000002
1961-08-24,0.5572916666666666,0.5944697916666668,8.656072916666664,122.9925208333333,0.5750562499999999
1961-11-07,0.5623505154639176,0.5406783505154641,9.318618556701033,118.92552577319587,0.5358845360824742
1962-01-21,0.5600624999999998,0.5039135416666668,10.183864583333332,121.8789895833334,0.5699875000000002
1962-04-06,0.5575408163265309,0.5645112244897958,9.042132653061227,115.89998979591843,0.576426530612245
1962-06-20,0.5629456521739131,0.5385358695652173,9.464423913043479,112.99515217391304,0.5652249999999999
1962-09-03,0.590919191919192,0.5385757575757577,9.274030303030305,120.67206060606064,0.6178727272727276
1962-11-17,0.5757311827956988,0.5265591397849463,9.604010752688168,116.58093548387095,0.6119720430107527
1963-01-31,0.5715979381443299,0.5080618556701031,10.03440206185567,118.73107216494844,0.6411175257731961
1963-04-16,0.5600729166666667,0.5454666666666668,9.454572916666667,115.45737500000004,0.5764406249999999
1963-06-30,0.5510102040816327,0.553908163265306,9.938377551020404,124.82813265306127,0.5994653061224489
1963-09-13,0.5752371134020621,0.5480443298969075,9.592731958762887,118.393793814433,0.5694783505154639
1963-11-27,0.5613157894736843,0.5811378947368423,9.426252631578947,119.62497894736845,0.5531945263157895
1964-02-10,0.552978947368421,0.5489168421052633,10.042810526315783,115.61502105263156,0.5854852631578947
1964-04-25,0.5643617021276596,0.5747721276595742,9.14156382978723,120.72068085106385,0.6044765957446806
1964-07-09,0.5826701030927837,0.5900206185567011,8.440701030927839,118.34707216494849,0.6182257731958759
1964-09-22,0.5555789473684211,0.5391442105263159,9.32675789473684,119.28668421052632,0.5699231578947367
1964-12-06,0.5686774193548386,0.5467967741935484,9.729354838709677,124.50570967741936,0.5782236559139785
1965-02-20,0.5713125000000001,0.5814791666666665,8.855322916666664,122.60778125000004,0.5826697916666667
1965-05-06,0.5702164948453606,0.6106175257731958,9.038948453608246,119.0640824742268,0.6233432989690721
1965-07-20,0.5635652173913044,0.5045967391304348,10.252826086956524,113.04458695652178,0.5506347826086956
1965-10-03,0.5582989690721649,0.5699206185567011,9.242072164948453,121.94230927835056,0.5763030927835053
1965-12-17,0.5317755102040815,0.5737448979591838,9.132897959183676,118.67560204081636,0.5401796938775512
1966-03-02,0.5514845360824743,0.5704567010309279,9.224927835051542,121.27974226804126,0.5685980412371134
1966-05-16,0.5655531914893615,0.5699148936170214,9.663457446808513,121.61086170212765,0.5965148936170211
1966-07-30,0.5507646464646464,0.5412606060606063,9.65738383838384,118.8638686868687,0.5906777777777776
1966-10-13,0.5614687500000001,0.5636041666666666,9.41471875,115.48098958333333,0.5794240625000002
1966-12-27,0.5709278350515463,0.5745463917525775,9.051896907216497,120.40090721649479,0.5830742268041239
1967-03-12,0.5670515463917528,0.5484525773195875,9.319329896907217,123.43855670103092,0.5821309278350518
1967-05-26,0.5726458333333333,0.5854562500000001,9.164291666666667,118.1776666666667,0.6130354166666668
1967-08-09,0.5593195876288659,0.5641958762886596,9.282113402061857,121.49196907216499,0.5919865979381443
1967-10-23,0.5569484536082473,0.5248319587628866,9.732618556701027,123.16145360824743,0.6123721649484539
1968-01-06,0.5677244897959185,0.5668673469387753,9.59097959183673,120.02454081632656,0.573882755102041
1968-03-21,0.5527346938775509,0.5360295918367348,9.832193877551019,123.01442857142857,0.5680673469387755
1968-06-04,0.5782500000000002,0.5431895833333334,9.612885416666666,117.7701770833334,0.5837104166666667
1968-08-18,0.5664387755102043,0.5683071428571429,9.645265306122447,121.31722448979592,0.6231295918367346
1968-11-01,0.5434684210526319,0.5826715789473685,9.341515789473682,118.32234736842106,0.5718295789473689
1969-01-16,0.5208132653061227,0.6059071428571429,9.226367346938773,122.47615306122448,0.5882909183673468
1969-04-01,0.5754270833333331,0.6081458333333332,8.915520833333337,118.50373958333336,0.5947208333333333
1969-06-15,0.5653191489361703,0.556148936170213,9.950085106382982,121.03254255319145,0.600536170212766
1969-08-29,0.5582500000000001,0.5285916666666663,10.462812499999997,117.69295833333332,0.5757333333333332
1969-11-12,0.5890927835051546,0.5453443298969073,9.751567010309278,128.76047422680415,0.6034237113402063
