Position,"Track Name",Artist,Streams,URL
57,Down,"Marian Hill",326559,https://open.spotify.com/track/2dqLk7ezV15LEJEwUmEbXB
58,Love,"Lana Del Rey",322303,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
59,"Don't Leave",Snakehips,321267,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
60,"All Night","The Vamps",313384,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
61,"Rent Money",Future,306288,https://open.spotify.com/track/4Zxdw0Hno7YDu0IzvY76Qo
62,"Love On The Brain",Rihanna,305970,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
63,"Losin Control",Russ,305818,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d
64,"I Got You","Bebe Rexha",305151,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
65,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",302043,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
66,"Make Me (Cry)","Noah Cyrus",299645,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
67,"Kelly Price (feat. Travis Scott)",Migos,299460,https://open.spotify.com/track/204U3zjm9kkzX25Pr4Rdld
68,Selfish,"PnB Rock",298882,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw
69,Sorry,Future,298820,https://open.spotify.com/track/1gb6riq7CCP5clGpSD0XPH
70,"Just Hold On","Steve Aoki",296134,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
71,Draco,Future,295408,https://open.spotify.com/track/67dyMPOUsbZ9Yg06PnfAAh
72,Sneakin’,Drake,290890,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
73,"Low Life",Future,284823,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
74,"Some Way",NAV,284098,https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo
75,History,"Olivia Holt",279710,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
76,Incredible,Future,277501,https://open.spotify.com/track/3IJPE9ICRq5PxVZxdv1sEv
77,"pick up the phone","Young Thug",276066,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
78,"You Was Right","Lil Uzi Vert",275340,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
79,"White Iverson","Post Malone",274912,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
80,Rolex,"Ayo & Teo",274796,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
81,"Chill Bill","Rob $tone",273232,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
82,"Sunset Lover","Petit Biscuit",272700,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
83,"Solo Dance","Martin Jensen",269518,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
84,"My Collection",Future,269397,https://open.spotify.com/track/4Q9vx0KwTiOMaRjOZkaxst
85,"Side To Side","Ariana Grande",266427,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
86,"The Other",Lauv,265558,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
87,"Use Me",Future,263683,https://open.spotify.com/track/6pRoE3RdW4w1Fjd8epVWjZ
88,Starving,"Hailee Steinfeld",262442,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
89,Heathens,"Twenty One Pilots",258578,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
90,"Same Drugs","Chance The Rapper",256973,https://open.spotify.com/track/6m9qPYXmhge2QhBLfFKnVF
91,"In the Name of Love","Martin Garrix",253689,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
92,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",253172,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
93,"Lookin Exotic",Future,252877,https://open.spotify.com/track/5qdaaB2RYHohGB1vglLuAf
94,"Water Under the Bridge",Adele,252845,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
95,"Don't Wanna Know","Maroon 5",250761,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
96,"Romantic - NOTD Remix",Stanaj,247452,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
97,"No Role Modelz","J. Cole",246303,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
98,"Sooner Or Later","Aaron Carter",245562,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
99,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",244555,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
100,Water,"Ugly God",244019,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt
101,"Now and Later","Sage The Gemini",242771,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
102,"Let Me Love You","DJ Snake",241100,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
103,Cake,"Flo Rida",239857,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
104,"Erase Your Social","Lil Uzi Vert",236693,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
105,"Wyclef Jean","Young Thug",236215,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b
106,"Oceans Away","A R I Z O N A",235927,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
107,Reminder,"The Weeknd",233111,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
108,"Get Right Witcha",Migos,231900,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
109,"Too Good",Drake,226418,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
110,"Too Many Years","Kodak Black",224611,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
