Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",2476167,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,DNA.,"Kendrick Lamar",1744855,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
3,"Mask Off",Future,1451879,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
4,"XO TOUR Llif3","Lil Uzi Vert",1277673,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
5,"Despacito - Remix","Luis Fonsi",1240763,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
6,ELEMENT.,"Kendrick Lamar",1085726,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
7,Passionfruit,Drake,1049845,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
8,"iSpy (feat. Lil Yachty)",KYLE,1047366,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
9,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1041773,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
10,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",1020356,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
11,"That's What I Like","Bruno Mars",974739,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
12,"Shape of You","Ed Sheeran",954349,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
13,Congratulations,"Post Malone",864094,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
14,"Tunnel Vision","Kodak Black",848364,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
15,Location,Khalid,836392,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
16,Portland,Drake,815130,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
17,"Stay (with Alessia Cara)",Zedd,812548,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
18,"XXX. FEAT. U2.","Kendrick Lamar",762354,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
19,"Something Just Like This","The Chainsmokers",733748,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
20,YAH.,"Kendrick Lamar",730536,https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni
21,"It Ain't Me (with Selena Gomez)",Kygo,678442,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
22,Slide,"Calvin Harris",670332,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
23,PRIDE.,"Kendrick Lamar",654757,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
24,FEEL.,"Kendrick Lamar",635209,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
25,Issues,"Julia Michaels",622150,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
26,"Bounce Back","Big Sean",614937,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
27,LUST.,"Kendrick Lamar",606198,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
28,goosebumps,"Travis Scott",606009,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
29,"Body Like A Back Road","Sam Hunt",595026,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
30,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,565742,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
31,T-Shirt,Migos,563616,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
32,"Look At Me!",XXXTENTACION,536913,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
