Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,2992606,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,1832247,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Call Out My Name","The Weeknd",1516591,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1500156,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"Look Alive (feat. Drake)","BlocBoy JB",1445248,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
6,SAD!,XXXTENTACION,1388843,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Plug Walk","Rich The Kid",1236687,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
8,"I Like It","Cardi B",1133599,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Be Careful","Cardi B",1120016,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
10,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1031815,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
11,"I Do (feat. SZA)","Cardi B",949244,https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1
12,"Love Lies (with Normani)",Khalid,887722,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
13,JAPAN,"Famous Dex",879243,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
14,"Walk It Talk It",Migos,875277,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
15,"Wasted Times","The Weeknd",873085,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
16,"Drip (feat. Migos)","Cardi B",843016,https://open.spotify.com/track/2qcG0nZ6S3zZV0UrkY5nFo
17,"Get Up 10","Cardi B",837244,https://open.spotify.com/track/7p2ewixAShLpjDZrnzZK7c
