,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Best Thing I Never Had,0.14300000000000002,0.545,253747,0.649,1.57e-05,6,0.0894,-4.062,0.0324,99.09899999999999,4,0.297,1
Better Dig Two,0.40399999999999997,0.635,192240,0.691,0.0,7,0.0894,-5.185,0.0454,155.936,4,0.61,1
Better Man,0.126,0.524,260933,0.76,1.1e-05,5,0.239,-4.2139999999999995,0.0361,143.991,4,0.43700000000000006,1
Better With The Lights Off,0.0521,0.573,219080,0.848,0.0,7,0.25,-2.742,0.057,112.084,4,0.561,1
Billy,0.175,0.764,112667,0.711,0.0,4,0.105,-3.818,0.28800000000000003,90.07600000000001,4,0.774,1
Birthday Cake,0.35700000000000004,0.7020000000000001,78200,0.8109999999999999,1.9699999999999998e-05,3,0.368,-6.419,0.0577,80.005,4,0.326,1
Black Magic,0.0348,0.777,211773,0.895,0.0,4,0.317,-4.4639999999999995,0.0618,111.98700000000001,4,0.826,1
Blame,0.135,0.6509999999999999,261800,0.5870000000000001,1.07e-05,11,0.149,-7.307,0.0421,121.838,4,0.317,1
Blessings,0.723,0.7140000000000001,221940,0.34299999999999997,5.48e-06,10,0.102,-7.641,0.38,72.348,4,0.37200000000000005,1
Blow,0.0188,0.654,178583,0.7959999999999999,0.0,2,0.0948,-4.761,0.122,108.854,4,0.491,1
Blow Me (One Last Kiss),0.000145,0.597,255587,0.919,0.0,7,0.282,-2.9539999999999997,0.044000000000000004,113.98700000000001,4,0.73,1
Blown Away,0.0909,0.531,240133,0.843,0.0,9,0.0283,-2.569,0.0429,136.991,4,0.392,1
Blue Ain't Your Color,0.606,0.6859999999999999,230600,0.41700000000000004,1.79e-06,7,0.0844,-7.787000000000001,0.0363,82.40700000000001,3,0.451,1
Body Like A Back Road,0.46299999999999997,0.731,165387,0.469,1.04e-06,5,0.10300000000000001,-7.226,0.0326,98.963,4,0.631,1
