,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
I Bet My Life,0.39899999999999997,0.5539999999999999,192707,0.6509999999999999,0.00041799999999999997,1,0.20800000000000002,-8.193,0.0419,107.912,4,0.581,1
I Cry,0.0061600000000000005,0.693,223800,0.8220000000000001,1.79e-06,4,0.315,-5.441,0.0439,126.035,4,0.763,1
I Do,0.006640000000000001,0.635,202500,0.9,0.0145,0,0.37,-3.719,0.0377,127.978,4,0.15,1
I Don't F**k With You,0.0372,0.8220000000000001,284387,0.7340000000000001,0.0,1,0.325,-5.48,0.0738,97.99799999999999,4,0.425,1
"I Don't Like It, I Love It",0.0242,0.8540000000000001,224258,0.7659999999999999,0.0,9,0.0793,-4.697,0.141,118.00399999999999,4,0.784,1
I Don't Wanna Live Forever (Fifty Shades Darker),0.0578,0.737,245653,0.452,1.4800000000000002e-05,0,0.187,-8.366,0.0534,117.962,4,0.096,1
I Dreamed A Dream,0.938,0.26899999999999996,277533,0.0774,1.7199999999999998e-05,10,0.0879,-17.392,0.0446,90.488,4,0.134,1
I Fall Apart,0.0777,0.573,223347,0.5429999999999999,0.0,8,0.19899999999999998,-5.357,0.0398,143.916,4,0.308,1
I Feel It Coming,0.44,0.767,269187,0.8190000000000001,0.0,0,0.0863,-5.945,0.127,92.99,4,0.583,1
I Get The Bag,0.0232,0.89,233087,0.633,0.000343,11,0.0993,-5.475,0.168,139.94799999999998,4,0.425,1
I Got The Keys,0.603,0.609,228707,0.445,6.77e-06,7,0.10400000000000001,-9.129,0.106,118.39299999999999,3,0.166,1
I Knew You Were Trouble.,0.00563,0.596,217973,0.473,1.29e-06,6,0.043,-6.745,0.039,154.22799999999998,4,0.648,1
I Like It Like That,0.0308,0.742,188200,0.784,0.0,1,0.354,-5.457999999999999,0.0552,101.00200000000001,4,0.65,1
I Lived,0.47600000000000003,0.557,219600,0.5710000000000001,0.00114,10,0.10099999999999999,-8.106,0.0281,80.98100000000001,4,0.392,1
I Love It,0.302,0.525,289000,0.48100000000000004,0.0,8,0.121,-6.715,0.0251,75.97399999999999,4,0.237,1
I Made It (Cash Money Heroes),0.0481,0.4,249547,0.9440000000000001,0.0,7,0.345,-2.9019999999999997,0.184,124.22399999999999,5,0.574,1
I Really Like You,0.005529999999999999,0.623,204773,0.81,5.15e-05,5,0.257,-4.683,0.0418,122.041,4,0.579,1
I See You,0.623,0.752,233280,0.5429999999999999,0.0706,1,0.107,-9.482999999999999,0.0398,126.001,4,0.282,1
I Took A Pill In Ibiza,0.034,0.665,197933,0.725,9.17e-06,7,0.0864,-6.587999999999999,0.12,101.96,4,0.703,1
I Wanna Go,0.889,0.5329999999999999,183413,0.21,0.0,0,0.111,-12.402000000000001,0.038,140.34,4,0.4,1
I Want Crazy,0.0539,0.562,236865,0.878,0.0,8,0.11199999999999999,-4.806,0.0387,103.029,4,0.5579999999999999,1
I Will Wait,0.0165,0.488,276720,0.752,0.00541,1,0.301,-5.131,0.0323,131.221,4,0.445,1
I'll Name The Dogs,0.163,0.47,183200,0.852,2.04e-06,4,0.281,-5.874,0.0933,168.063,4,0.773,1
I'll Show You,0.0427,0.314,199947,0.611,6.28e-05,9,0.184,-6.691,0.129,191.447,4,0.0604,1
I'm Awesome,0.149,0.609,249160,0.778,1.21e-06,0,0.631,-5.492000000000001,0.366,91.85799999999999,4,0.802,1
I'm Comin' Over,0.0282,0.575,197280,0.845,0.0,10,0.0814,-3.838,0.035,127.99700000000001,4,0.376,1
I'm Gonna Love You Through It,0.311,0.42700000000000005,225560,0.684,0.0,5,0.11199999999999999,-4.973,0.0345,142.621,4,0.27699999999999997,1
I'm Into You,0.0624,0.85,278333,0.513,0.00249,7,0.0689,-10.663,0.0513,99.01,4,0.623,1
I'm Not The Only One,0.5539999999999999,0.45299999999999996,239317,0.496,2.65e-05,5,0.0772,-5.785,0.0453,80.994,4,0.501,1
If Heaven Wasn't So Far Away,0.0525,0.49200000000000005,224400,0.466,0.0,11,0.147,-12.939,0.0325,75.513,4,0.385,1
Imma Be,0.184,0.619,257560,0.539,0.0,0,0.28800000000000003,-6.9,0.387,145.618,0,0.424,1
Impossible,0.141,0.376,209440,0.696,0.0,0,0.11,-4.785,0.0949,169.515,4,0.303,1
In My Blood,0.0524,0.628,211600,0.715,0.0,5,0.11900000000000001,-7.097,0.0541,139.991,4,0.429,1
In My Head,0.451,0.375,259120,0.546,0.000312,2,0.278,-8.16,0.0294,95.361,4,0.37,1
In The Dark,0.0115,0.527,241307,0.9420000000000001,0.0,1,0.188,-5.64,0.0366,148.72299999999998,4,0.495,1
In The Name Of Love,0.109,0.501,195707,0.519,0.0,4,0.45399999999999996,-5.88,0.0409,133.99,4,0.168,1
International Love,0.0124,0.669,227280,0.855,0.0,0,0.335,-3.035,0.0499,120.045,4,0.648,1
It Girl,0.0293,0.645,225560,0.904,0.0,2,0.0834,-4.532,0.0462,105.97,4,0.6709999999999999,1
It Kills Me,0.215,0.62,250413,0.789,0.0,8,0.1,-4.265,0.0469,107.359,4,0.444,1
It Will Rain,0.359,0.574,257848,0.8240000000000001,0.0,2,0.0816,-6.885,0.0463,149.981,4,0.434,1
It's The Most Wonderful Time Of The Year,0.7659999999999999,0.24,151933,0.598,0.0,7,0.11699999999999999,-8.435,0.037000000000000005,202.082,3,0.7759999999999999,1
Japan,0.121,0.733,142000,0.6779999999999999,0.0,6,0.344,-7.771,0.43799999999999994,175.985,4,0.841,1
Jar Of Hearts,0.726,0.349,246587,0.348,0.0,3,0.12,-6.142,0.0316,74.541,4,0.0886,1
Jimmy Choo,0.11199999999999999,0.893,176855,0.6459999999999999,0.0,11,0.10400000000000001,-5.073,0.1,132.97,4,0.46799999999999997,1
Jingle Bell Rock,0.6759999999999999,0.6609999999999999,131733,0.402,0.0,2,0.0556,-11.954,0.0299,119.585,4,0.8220000000000001,1
Juju On That Beat (TZ Anthem),0.00381,0.807,144244,0.887,0.0,1,0.391,-3.892,0.275,160.517,4,0.78,1
Jumpman,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,0.19399999999999998,142.065,4,0.6759999999999999,1
Just A Dream,0.0413,0.5539999999999999,237800,0.764,0.0,1,0.12300000000000001,-6.129,0.031,90.0,4,0.0991,1
Just Gettin' Started,0.396,0.507,195480,0.805,1.16e-06,9,0.106,-4.611000000000001,0.0867,167.983,4,0.513,1
Just Give Me A Reason,0.34600000000000003,0.778,242733,0.547,0.000302,2,0.132,-7.273,0.0489,95.00200000000001,4,0.441,1
Just Like Fire,0.0114,0.632,215414,0.701,0.0,7,0.10800000000000001,-5.921,0.146,162.958,4,0.49700000000000005,1
Just The Way You Are,0.0151,0.637,220733,0.843,0.0,5,0.0876,-5.412999999999999,0.0432,109.012,4,0.434,1
Keke,0.0363,0.597,151915,0.857,0.0,2,0.40700000000000003,-5.7589999999999995,0.28,187.96400000000003,4,0.493,1
King Kunta,0.00515,0.8809999999999999,234693,0.6579999999999999,0.0,11,0.203,-4.53,0.10099999999999999,107.052,4,0.486,1
King Of Anything,0.461,0.6759999999999999,207493,0.762,0.0,1,0.0574,-4.172,0.0351,119.00299999999999,4,0.81,1
Kiss You,0.0186,0.63,182960,0.934,0.0,4,0.324,-2.559,0.0589,89.992,4,0.905,1
Knee Deep,0.43200000000000005,0.715,203173,0.584,1.41e-06,8,0.095,-8.231,0.0296,90.98700000000001,4,0.61,1
Know Yourself,0.19,0.735,275840,0.41,0.0,11,0.341,-8.735,0.2,114.81200000000001,4,0.16399999999999998,1
Kooda,0.157,0.888,142582,0.65,0.0,1,0.225,-4.497,0.33399999999999996,91.22200000000001,4,0.17300000000000001,1
Last Christmas,0.18899999999999997,0.735,262960,0.478,2.48e-06,2,0.355,-12.472000000000001,0.0293,107.682,4,0.9470000000000001,1
Last Friday Night (T.G.I.F.),0.00125,0.649,230747,0.815,4.31e-05,3,0.6709999999999999,-3.7960000000000003,0.0415,126.03,4,0.765,1
Lemon,0.0007379999999999999,0.777,226107,0.657,3.34e-06,1,0.0932,-6.434,0.237,189.99200000000002,4,0.245,1
Letting Go (Dutty Love),0.335,0.792,230600,0.8079999999999999,0.0,5,0.26899999999999996,-4.156000000000001,0.0963,92.064,4,0.7090000000000001,1
Life After You,0.0575,0.447,266773,0.5920000000000001,4.47e-06,6,0.13,-3.015,0.0319,78.039,4,0.28300000000000003,1
Lighters,0.0363,0.889,211579,0.5870000000000001,0.0,2,0.0919,-9.289,0.423,75.999,4,0.7959999999999999,1
Like A G6,0.007379999999999999,0.35200000000000004,216893,0.843,0.0,7,0.0883,-7.983,0.48200000000000004,165.29,5,0.727,1
Lil Freak,0.0144,0.8,285894,0.6559999999999999,0.0,5,0.354,-5.874,0.114,119.921,4,0.436,1
Little Things,0.7879999999999999,0.7070000000000001,219640,0.222,0.0,7,0.205,-11.716,0.0329,110.095,4,0.556,1
Live Like We're Dying,0.0267,0.578,212747,0.9,0.0,0,0.287,-2.501,0.0443,92.01100000000001,4,0.934,1
Locked Away,0.32799999999999996,0.508,227280,0.677,0.0,1,0.0491,-5.696000000000001,0.0656,121.928,5,0.575,1
Locked Out Of Heaven,0.049,0.726,233478,0.698,0.0,5,0.309,-4.165,0.0431,143.994,4,0.867,1
Look At Me Now,0.0439,0.764,223933,0.6940000000000001,3.67e-06,11,0.18,-5.745,0.18899999999999997,146.075,4,0.581,1
Losing My Religion,0.163,0.6709999999999999,268427,0.8490000000000001,0.0,9,0.0937,-5.03,0.0284,125.613,4,0.8290000000000001,1
Love Galore,0.111,0.795,275080,0.594,0.0,0,0.162,-6.2,0.0747,135.002,4,0.409,1
Love Me Like You Do,0.24,0.254,252534,0.617,0.0,5,0.125,-6.612,0.0537,189.425,4,0.255,1
Love Me Now,0.5720000000000001,0.41600000000000004,210307,0.773,0.0,8,0.105,-3.784,0.0949,122.65,4,0.716,1
Love More,0.10800000000000001,0.927,210937,0.488,0.0,9,0.196,-9.433,0.42,133.987,4,0.605,1
Love Never Felt So Good,0.132,0.775,246027,0.7190000000000001,1.79e-06,7,0.0662,-6.212000000000001,0.0435,117.51299999999999,4,0.7120000000000001,1
Love So Soft,0.0053,0.8079999999999999,172427,0.581,1.1900000000000001e-05,11,0.0828,-5.43,0.07,130.012,4,0.758,1
Love Somebody,0.18600000000000003,0.532,223147,0.616,0.0,10,0.0928,-7.074,0.0328,101.883,4,0.292,1
Love The Way You Lie,0.25,0.647,263373,0.924,0.0,10,0.519,-4.957,0.33,173.96200000000002,4,0.614,1
Love You Like A Love Song,0.0715,0.8590000000000001,188453,0.6970000000000001,0.0,1,0.0761,-3.79,0.0569,117.008,4,0.8759999999999999,1
Love Yourself,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,0.45299999999999996,102.541,4,0.545,1
Love.,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,0.0449,143.955,4,0.33799999999999997,1
Low Life,0.337,0.722,313547,0.331,0.28300000000000003,8,0.146,-7.789,0.0725,143.974,4,0.102,1
Magnolia,0.012,0.7909999999999999,181812,0.586,0.0,11,0.46,-7.372000000000001,0.29,163.029,4,0.413,1
Malibu,0.0577,0.565,231906,0.782,4.16e-05,8,0.0757,-6.412999999999999,0.0506,140.004,4,0.4,1
Maps,0.0183,0.745,189959,0.7140000000000001,0.0,1,0.0636,-5.501,0.0302,120.025,4,0.853,1
Marvins Room,0.65,0.397,347587,0.26,0.0014199999999999998,9,0.0842,-17.302,0.124,78.175,4,0.295,1
Mask Off,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,0.431,150.062,4,0.281,1
May We All,0.0406,0.488,226173,0.915,0.0,7,0.35100000000000003,-4.255,0.0389,75.01899999999999,4,0.6459999999999999,1
Me And Your Mama,0.33299999999999996,0.439,183413,0.802,0.0,7,0.377,-3.6439999999999997,0.054000000000000006,168.032,4,0.725,1
Me Too,0.0962,0.934,181240,0.6940000000000001,1.2e-06,11,0.478,-5.849,0.10099999999999999,123.829,4,0.835,1
Meant To Be,0.047,0.643,163870,0.7829999999999999,0.0,10,0.083,-6.457999999999999,0.0856,154.084,4,0.579,1
Messin' Around,0.0157,0.5760000000000001,223265,0.807,0.0,2,0.0338,-4.602,0.0454,158.002,4,0.765,1
Mi Gente,0.0164,0.535,189440,0.6779999999999999,1.31e-05,11,0.128,-4.906000000000001,0.0998,102.681,4,0.287,1
Mirrors,0.23399999999999999,0.574,484147,0.512,0.0,5,0.0946,-6.664,0.0503,76.899,4,0.512,1
Misery,0.0027199999999999998,0.517,211520,0.9059999999999999,9.26e-06,1,0.113,-3.677,0.0735,172.977,4,0.731,1
Mmm Yeah,0.00266,0.7120000000000001,231625,0.922,1.9e-06,6,0.268,-3.9019999999999997,0.0411,125.984,4,0.976,1
Motivation,0.17600000000000002,0.721,231173,0.6679999999999999,0.00010400000000000001,9,0.0732,-5.561,0.0505,140.91899999999998,4,0.271,1
MotorSport,0.0338,0.8959999999999999,303077,0.515,0.0,2,0.317,-5.395,0.183,138.016,4,0.174,1
Moves,0.0541,0.789,142907,0.53,0.0,2,0.16399999999999998,-6.2,0.293,75.515,4,0.36700000000000005,1
Moves Like Jagger,0.0106,0.7140000000000001,201160,0.748,0.0,11,0.325,-4.471,0.0546,128.03,4,0.586,1
Mr. Know It All,0.0185,0.627,191747,0.871,0.0,2,0.11699999999999999,-4.303999999999999,0.094,151.079,4,0.725,1
My Boo,0.257,0.662,223440,0.507,0.0,5,0.0465,-8.238,0.11800000000000001,86.412,4,0.6759999999999999,1
My Chick Bad,0.187,0.66,216933,0.72,0.0,1,0.509,-6.64,0.381,84.70700000000001,4,0.721,1
My Eyes,0.976,0.35600000000000004,99658,0.14300000000000002,1.89e-05,9,0.111,-15.148,0.0388,75.52199999999999,4,0.33399999999999996,1
My Hitta,0.13,0.752,236093,0.509,0.0,10,0.141,-6.794,0.141,85.5,4,0.648,1
My Kinda Party,0.34700000000000003,0.68,229400,0.741,1.87e-06,2,0.11699999999999999,-5.055,0.0357,127.024,4,0.635,1
My Last,0.09300000000000001,0.628,197267,0.593,1.65e-06,8,0.096,-5.0360000000000005,0.0323,125.02600000000001,4,0.10400000000000001,1
My Songs Know What You Did In The Dark (Light Em Up),0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0.0619,152.011,4,0.5529999999999999,1
Nasty Freestyle,0.0577,0.779,142212,0.47200000000000003,0.0,11,0.114,-7.1160000000000005,0.218,135.05100000000002,4,0.41200000000000003,1
Naturally,0.0211,0.629,202587,0.9059999999999999,1.17e-06,10,0.0551,-5.393,0.0583,132.64,4,0.847,1
Need You Now,0.0927,0.5870000000000001,277573,0.622,0.0006360000000000001,4,0.2,-5.535,0.0303,107.943,4,0.231,1
Never Be The Same,0.145,0.643,227088,0.7090000000000001,0.000449,0,0.115,-4.343,0.0733,129.961,4,0.264,1
Never Forget You,0.00312,0.583,213428,0.732,9.86e-06,11,0.26899999999999996,-5.728,0.0457,145.99200000000002,4,0.276,1
Never Gonna Be Alone,0.00155,0.544,227027,0.802,7.340000000000001e-05,4,0.122,-4.152,0.0282,130.02200000000002,4,0.59,1
Never Gonna Leave This Bed,0.132,0.603,196707,0.775,0.0,11,0.33899999999999997,-4.106,0.0291,117.34200000000001,4,0.483,1
Never Say Never,0.00713,0.5329999999999999,263645,0.6709999999999999,0.000106,1,0.12,-4.4639999999999995,0.0334,111.044,4,0.0449,1
New Romantics,0.0055899999999999995,0.637,230467,0.8909999999999999,0.000144,5,0.0656,-5.809,0.0785,121.946,4,0.607,1
Night Changes,0.8590000000000001,0.672,226600,0.52,0.0,8,0.115,-7.747000000000001,0.0353,120.001,4,0.37,1
No,0.0375,0.703,205947,0.696,5.65e-06,0,0.27399999999999997,-5.482,0.0529,121.969,4,0.366,1
No Hands,0.0054399999999999995,0.76,263773,0.595,0.0,1,0.24100000000000002,-6.3660000000000005,0.0391,131.497,4,0.361,1
No Heart,0.136,0.9059999999999999,235040,0.444,6.440000000000001e-05,4,0.17300000000000001,-8.692,0.384,140.063,4,0.6779999999999999,1
No Lie,0.0426,0.743,221176,0.89,0.0,7,0.254,-2.8089999999999997,0.10300000000000001,101.999,4,0.461,1
No Mediocre,0.0826,0.78,201600,0.45,0.0,1,0.0809,-9.539,0.0465,95.486,4,0.17800000000000002,1
No New Friends (SFTB Remix),0.00525,0.7,307467,0.675,0.0,2,0.657,-6.362,0.149,124.882,4,0.225,1
No Worries,0.0989,0.8390000000000001,221000,0.602,0.0,5,0.0807,-5.526,0.285,127.97200000000001,4,0.8,1
Not A Bad Thing,0.271,0.594,266294,0.7290000000000001,0.0,2,0.38299999999999995,-5.774,0.0626,86.03200000000001,4,0.45899999999999996,1
Now Or Never,0.105,0.6579999999999999,214802,0.588,1.28e-06,6,0.125,-4.902,0.0367,110.075,4,0.434,1
On My Mind,0.42,0.711,181510,0.662,0.0,10,0.0723,-5.947,0.175,130.037,4,0.755,1
On To The Next One,0.0808,0.8079999999999999,198276,0.557,0.00021400000000000002,11,0.171,-9.339,0.0606,117.00299999999999,4,0.402,1
One Dance,0.00842,0.7959999999999999,173987,0.61,0.00286,1,0.35100000000000003,-5.857,0.0516,103.99,4,0.391,1
One More Night,0.0563,0.71,219467,0.8,0.0,5,0.0834,-3.4389999999999996,0.0339,93.01,4,0.635,1
One Time,0.09300000000000001,0.628,197267,0.593,1.65e-06,8,0.096,-5.0360000000000005,0.0323,125.02600000000001,4,0.10400000000000001,1
Only,0.044000000000000004,0.804,251859,0.774,1.38e-06,4,0.217,-5.79,0.0638,161.955,4,0.493,1
Only Girl (In The World),0.11900000000000001,0.78,235520,0.7140000000000001,4.1e-06,11,0.217,-4.155,0.0382,125.92399999999999,4,0.6659999999999999,1
Otis,0.27899999999999997,0.883,172333,0.46399999999999997,1.51e-05,10,0.0744,-11.251,0.0591,111.54799999999999,4,0.925,1
Out Of My Head,0.0736,0.851,235737,0.7090000000000001,0.00137,1,0.12,-5.157,0.0694,116.46700000000001,4,0.42,1
Outside,0.139,0.851,129105,0.6659999999999999,0.0,11,0.105,-5.334,0.0694,134.06799999999998,4,0.0585,1
Outside Today,0.139,0.851,129105,0.6659999999999999,0.0,11,0.105,-5.334,0.0694,134.06799999999998,4,0.0585,1
Paris,0.0243,0.6459999999999999,221520,0.644,0.0,2,0.0888,-6.763,0.031,99.999,4,0.251,1
Party Rock Anthem,0.0235,0.7390000000000001,262173,0.725,0.0,1,0.257,-4.1530000000000005,0.165,130.024,4,0.36200000000000004,1
Payphone,0.0198,0.74,231387,0.746,0.0,4,0.363,-4.696000000000001,0.0424,110.01,4,0.505,1
Perfect,0.163,0.599,263400,0.44799999999999995,0.0,8,0.106,-6.312,0.0232,95.05,3,0.168,1
Photograph,0.0299,0.825,218954,0.48700000000000004,0.0,1,0.0868,-6.416,0.233,105.05,3,0.37200000000000005,1
Pills N Potions,0.0077599999999999995,0.426,268000,0.615,8.16e-06,2,0.0456,-8.048,0.16399999999999998,169.47799999999998,4,0.18600000000000003,1
Pirate Flag,0.0723,0.5770000000000001,225253,0.805,8.64e-06,7,0.106,-6.251,0.0509,160.128,4,0.5760000000000001,1
Plug Walk,0.20199999999999999,0.8759999999999999,175230,0.519,0.0,11,0.10800000000000001,-6.531000000000001,0.14300000000000002,94.98100000000001,4,0.158,1
Pontoon,0.413,0.721,212320,0.8190000000000001,0.0,9,0.196,-5.715,0.0269,96.02,4,0.867,1
Praying,0.48,0.565,230269,0.381,0.0,10,0.109,-7.204,0.0302,73.483,4,0.325,1
Pretty Girl Rock,0.203,0.665,243920,0.882,0.0,11,0.085,-4.968,0.251,160.023,4,0.885,1
Problem,0.156,0.652,304607,0.795,0.0,11,0.12300000000000001,-5.192,0.174,135.018,4,0.7879999999999999,1
Pumped Up Kicks,0.145,0.733,239600,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,4,0.965,1
Purple Lamborghini,0.0019,0.457,215510,0.899,0.0,10,0.831,-2.591,0.132,147.268,4,0.298,1
R.I.C.O.,0.317,0.727,197133,0.599,0.0,1,0.21899999999999997,-6.941,0.327,167.90900000000002,3,0.386,1
R.I.P.,0.36200000000000004,0.765,207507,0.622,2.15e-06,5,0.146,-4.9319999999999995,0.10300000000000001,104.015,4,0.47600000000000003,1
RGF Island,0.00116,0.746,173893,0.764,8.19e-06,0,0.0867,-5.066,0.0423,137.98,4,0.518,1
Raise Your Glass,0.00629,0.7,203333,0.695,0.0,7,0.0319,-4.973,0.0897,122.02799999999999,4,0.633,1
Red Nose,0.435,0.856,193200,0.469,0.0,11,0.23199999999999998,-5.707999999999999,0.133,97.54899999999999,4,0.75,1
Redbone,0.19899999999999998,0.743,326933,0.359,0.00611,1,0.13699999999999998,-10.401,0.0794,160.083,4,0.5870000000000001,1
Remind Me,0.193,0.685,217287,0.508,0.0,0,0.139,-6.4,0.0987,99.06299999999999,4,0.315,1
Ric Flair Drip,0.149,0.88,172800,0.428,5.07e-05,9,0.114,-8.28,0.20600000000000002,100.007,4,0.33299999999999996,1
Ridin' Solo,0.0077599999999999995,0.359,239754,0.557,0.00434,1,0.475,-9.184,0.0959,147.351,4,0.0497,1
Right Hand,0.0978,0.9009999999999999,190595,0.292,0.0,2,0.0816,-7.74,0.289,100.54,4,0.33799999999999997,1
Rock That Body,0.0197,0.713,268840,0.898,2.62e-05,2,0.435,-6.0089999999999995,0.111,124.976,4,0.858,1
Rockstar,0.13,0.575,218320,0.535,0.00013000000000000002,5,0.14300000000000002,-6.6370000000000005,0.0776,159.764,4,0.127,1
Roll In Peace,0.0306,0.747,213132,0.524,0.0,10,0.2,-6.807,0.245,140.053,4,0.363,1
Roll Up,0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0.0619,152.011,4,0.5529999999999999,1
Rolling In The Deep,0.131,0.7290000000000001,228293,0.7559999999999999,0.0,8,0.0527,-5.119,0.0294,104.945,4,0.522,1
Roses,0.547,0.691,262544,0.6829999999999999,0.0,0,0.221,-7.335,0.0954,140.002,4,0.456,1
Rude Boy,0.11800000000000001,0.564,222920,0.758,0.0,3,0.0992,-4.404,0.18600000000000003,173.898,4,0.7859999999999999,1
S&M,0.0156,0.764,243533,0.6729999999999999,6.56e-05,1,0.195,-4.946000000000001,0.0437,127.941,4,0.8,1
Sacrifices,0.0463,0.903,307593,0.43200000000000005,0.0,8,0.111,-11.885,0.426,139.028,4,0.555,1
Sad!,0.258,0.74,166606,0.613,0.00372,8,0.12300000000000001,-4.88,0.145,75.023,4,0.473,1
Same Old Love,0.0236,0.6709999999999999,229080,0.596,0.0,11,0.228,-4.005,0.031,98.025,4,0.444,1
Sangria,0.017,0.6459999999999999,233480,0.7240000000000001,1.39e-06,9,0.153,-6.96,0.0265,115.984,4,0.54,1
Santa Tell Me,0.0545,0.506,204093,0.628,0.0,7,0.301,-7.316,0.17300000000000001,191.708,4,0.556,1
Say Aah,0.004529999999999999,0.7240000000000001,207547,0.87,0.0,1,0.833,-3.614,0.113,93.01,4,0.81,1
Say It,0.0798,0.384,237787,0.512,1.1900000000000001e-05,4,0.129,-10.545,0.0753,107.241,4,0.23399999999999999,1
Scream,0.00117,0.616,234693,0.862,0.0,7,0.179,-5.18,0.0973,127.992,4,0.569,1
Scream & Shout,0.0216,0.773,283400,0.69,7.8e-05,0,0.128,-6.835,0.0679,130.042,4,0.489,1
Sexy Chick,0.0816,0.809,194347,0.562,0.00041799999999999997,11,0.105,-7.694,0.0534,130.003,4,0.7979999999999999,1
She Ain't You,0.0341,0.634,248107,0.716,0.0,2,0.0877,-6.502000000000001,0.128,91.039,4,0.619,1
She Looks So Perfect,0.000668,0.493,202496,0.956,0.0,1,0.41600000000000004,-4.221,0.138,160.006,4,0.47,1
Shining,0.053,0.768,284000,0.807,2.99e-06,2,0.214,-5.507999999999999,0.106,112.001,4,0.575,1
Shut It Down,0.414,0.584,419307,0.445,0.0,0,0.158,-9.523,0.0719,119.917,4,0.389,1
Side To Side,0.0373,0.65,226160,0.728,0.0,6,0.32799999999999996,-5.914,0.23199999999999998,159.167,4,0.619,1
Silence,0.256,0.52,180823,0.7609999999999999,4.96e-06,4,0.17,-3.093,0.0853,141.971,4,0.28600000000000003,1
Sippin' On Fire,0.0051,0.478,193640,0.929,1.0300000000000001e-05,10,0.348,-3.1919999999999997,0.032,142.95600000000002,4,0.7490000000000001,1
Sleazy Remix 2.0 Get Sleazier,0.0172,0.698,293053,0.7909999999999999,1.1900000000000001e-05,6,0.0805,-5.655,0.233,170.03400000000002,4,0.912,1
Slide,0.498,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0.0545,104.066,4,0.511,1
Slippery,0.307,0.92,304041,0.674,0.0,1,0.10400000000000001,-5.662000000000001,0.264,141.967,4,0.741,1
Slow Down,0.5589999999999999,0.618,157891,0.59,3.4200000000000005e-05,11,0.20800000000000002,-7.751,0.359,127.275,4,0.285,1
Slow Hands,0.0133,0.726,188174,0.429,0.0,0,0.0574,-6.622999999999999,0.0519,85.899,4,0.871,1
Soldier Of Love,0.0117,0.775,356653,0.5720000000000001,0.0291,0,0.0847,-8.427,0.0632,90.023,4,0.64,1
Some Nights,0.0178,0.672,277040,0.738,6.75e-05,0,0.0927,-7.045,0.0506,107.93799999999999,4,0.392,1
Someday,0.00425,0.5379999999999999,183440,0.52,0.0,9,0.36700000000000005,-7.46,0.0299,106.031,4,0.6779999999999999,1
Someone Like You,0.892,0.5589999999999999,285040,0.33,0.0,9,0.0975,-8.251,0.0285,135.109,4,0.285,1
Somethin' Bad,0.0527,0.68,169587,0.888,2.82e-06,9,0.0575,-5.308,0.055,90.07600000000001,4,0.484,1
Something Just Like This,0.0306,0.607,247627,0.649,2.46e-05,11,0.174,-6.695,0.0362,102.99600000000001,4,0.505,1
Somewhere With You,0.0862,0.68,243520,0.8490000000000001,0.00013000000000000002,1,0.174,-6.475,0.0376,111.969,4,0.536,1
Sorry,0.0223,0.7020000000000001,203760,0.635,0.0,11,0.28300000000000003,-6.917000000000001,0.265,144.004,4,0.873,1
Springsteen,0.1,0.6920000000000001,263387,0.809,9.77e-05,2,0.185,-5.935,0.0255,104.023,4,0.927,1
Starboy,0.168,0.675,230453,0.595,3.36e-06,7,0.136,-7.0329999999999995,0.284,185.998,4,0.491,1
Starships,0.16699999999999998,0.748,210627,0.727,0.0,11,0.166,-2.42,0.0871,125.014,4,0.69,1
Started From The Bottom,0.0378,0.7929999999999999,174133,0.512,0.0,8,0.16,-7.871,0.188,86.35,4,0.542,1
Strip It Down,0.392,0.629,241613,0.878,0.0,9,0.0899,-3.535,0.0443,137.989,4,0.7140000000000001,1
Strip That Down,0.221,0.87,204502,0.488,0.0,6,0.0767,-5.586,0.0537,106.008,4,0.519,1
Stronger (What Doesn't Kill You),0.046,0.562,221947,0.9390000000000001,0.0,0,0.11199999999999999,-4.282,0.0475,116.044,4,0.684,1
Stuck Like Glue,0.322,0.62,247587,0.799,0.0,1,0.0565,-4.702,0.0996,168.024,4,0.804,1
Style,0.00253,0.594,231000,0.8,0.00244,7,0.11699999999999999,-5.56,0.0377,95.036,4,0.473,1
Sucker For Pain,0.255,0.502,243491,0.7859999999999999,0.0,9,0.65,-4.378,0.317,169.021,4,0.7390000000000001,1
Summer,0.122,0.5489999999999999,234306,0.7509999999999999,0.0,9,0.20800000000000002,-5.422999999999999,0.0299,89.95299999999999,4,0.493,1
Summertime Sadness,0.0153,0.564,214912,0.8109999999999999,8.72e-06,1,0.125,-5.734,0.0513,126.007,4,0.114,1
Super Bass,0.282,0.727,200013,0.866,3.87e-06,11,0.585,-4.288,0.185,127.01,4,0.653,1
Sure Be Cool If You Did,0.255,0.5760000000000001,215720,0.726,0.0,11,0.10800000000000001,-4.625,0.035,136.80200000000002,4,0.5820000000000001,1
