Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1517787,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Castle on the Hill","Ed Sheeran",1472037,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
3,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1328631,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
4,"Fake Love",Drake,1217137,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
5,Starboy,"The Weeknd",1083653,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,816323,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,"Black Beatles","Rae Sremmurd",814513,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
8,Closer,"The Chainsmokers",805446,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
9,Caroline,Aminé,741197,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
10,"Bounce Back","Big Sean",739551,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
11,"Bad Things (with Camila Cabello)","Machine Gun Kelly",714213,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
12,"I Feel It Coming","The Weeknd",685156,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,"Broccoli (feat. Lil Yachty)",DRAM,625224,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
14,"Don't Wanna Know","Maroon 5",571152,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
15,"24K Magic","Bruno Mars",549028,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
16,"X (feat. Future)","21 Savage",546365,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
17,"Deja Vu","J. Cole",543912,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
18,"In the Name of Love","Martin Garrix",523541,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
19,"Say You Won't Let Go","James Arthur",513212,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
20,"Chill Bill","Rob $tone",509412,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
21,"iSpy (feat. Lil Yachty)",KYLE,507342,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
22,"Let Me Love You","DJ Snake",505622,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
23,"No Heart","21 Savage",497352,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
24,"One Dance",Drake,482170,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
25,"Side To Side","Ariana Grande",476302,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
26,"Party Monster","The Weeknd",475534,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
27,Sneakin’,Drake,456247,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
28,Starving,"Hailee Steinfeld",445161,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
29,"You Was Right","Lil Uzi Vert",441225,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
30,"Call On Me - Ryan Riback Extended Remix",Starley,433330,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
31,"All We Know","The Chainsmokers",428299,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
32,Heathens,"Twenty One Pilots",416841,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
33,"How Far I'll Go - From ""Moana""","Alessia Cara",416516,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
34,Mercy,"Shawn Mendes",405913,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
35,"Scars To Your Beautiful","Alessia Cara",397733,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
36,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",390496,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
37,OOOUUU,"Young M.A",388436,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL
38,Swang,"Rae Sremmurd",379427,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
39,"Love Me Now","John Legend",377289,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
40,Neighbors,"J. Cole",374082,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
41,"All Time Low","Jon Bellion",372827,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
42,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",368650,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
