Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,2784404,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"God's Plan",Drake,1801908,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"I Like It","Cardi B",1629604,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1608961,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,"Look Alive (feat. Drake)","BlocBoy JB",1493428,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
6,"Call Out My Name","The Weeknd",1436185,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
7,SAD!,XXXTENTACION,1309541,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,"Plug Walk","Rich The Kid",1215154,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
9,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1163406,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
10,"Walk It Talk It",Migos,1148724,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
11,"Be Careful","Cardi B",1065137,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
12,JAPAN,"Famous Dex",1019372,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
13,"Love Lies (with Normani)",Khalid,963863,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,"Ric Flair Drip (& Metro Boomin)",Offset,906658,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"Powerglide (feat. Juicy J)","Rae Sremmurd",901083,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
16,"The Middle",Zedd,897926,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
17,"One Kiss (with Dua Lipa)","Calvin Harris",816807,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
18,Mine,Bazzi,813299,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
19,"All The Stars (with SZA)","Kendrick Lamar",799714,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
20,Moonlight,XXXTENTACION,753157,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
21,rockstar,"Post Malone",708598,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
22,"Wasted Times","The Weeknd",707037,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
23,"I Fall Apart","Post Malone",704596,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
24,FRIENDS,Marshmello,692187,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
25,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",685331,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
26,"Playinwitme (feat. Kehlani)",KYLE,684776,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
27,"Stir Fry",Migos,683846,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
28,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",669601,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
29,Esskeetit,"Lil Pump",655537,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
30,"Lemon - Drake Remix",N.E.R.D,624982,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
31,"I Do (feat. SZA)","Cardi B",611749,https://open.spotify.com/track/1f5PNhkNgUpvDEeZfcIlO1
32,Nevermind,"Dennis Lloyd",607271,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
33,"Bartier Cardi (feat. 21 Savage)","Cardi B",598118,https://open.spotify.com/track/0dIoGTQXDh1wVnhIiSyYEa
34,"Barbie Tingz","Nicki Minaj",592014,https://open.spotify.com/track/2qsQ8eVDPmobZpvDxQCVQu
35,Everyday,Logic,580386,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
