Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,2712193,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",2138513,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"Look Alive (feat. Drake)","BlocBoy JB",1614920,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
4,"All The Stars (with SZA)","Kendrick Lamar",1299745,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
5,SAD!,XXXTENTACION,1273044,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL
6,"Stir Fry",Migos,1115059,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
7,"The Middle",Zedd,1089078,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
8,Mine,Bazzi,1083275,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
9,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",1016784,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
10,"Pray For Me (with Kendrick Lamar)","The Weeknd",991173,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
11,"Love Lies (with Normani)",Khalid,964118,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
12,"I Fall Apart","Post Malone",917159,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
13,"Ric Flair Drip (& Metro Boomin)",Offset,906979,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
14,rockstar,"Post Malone",903634,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
15,Everyday,Logic,792894,https://open.spotify.com/track/6zOhgKfbMiQWToE6K13s2s
16,FRIENDS,Marshmello,773128,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
17,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",770566,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
18,Narcos,Migos,679115,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
19,"Never Be the Same","Camila Cabello",661044,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
20,IDGAF,"Dua Lipa",660735,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
21,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",621018,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
22,"LOVE. FEAT. ZACARI.","Kendrick Lamar",614207,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
23,Betrayed,"Lil Xan",604733,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
24,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,603412,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
25,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",594357,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
26,"44 More",Logic,585384,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
27,"Sky Walker",Miguel,584143,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
28,"Plug Walk","Rich The Kid",572120,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
29,"XO TOUR Llif3","Lil Uzi Vert",571895,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
30,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",569883,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
31,"Nowadays (feat. Landon Cube)","Lil Skies",566542,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
32,"Bounce Out With That","YBN Nahmir",547037,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
33,Heaven,"Julia Michaels",536171,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
34,Havana,"Camila Cabello",532762,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
35,"Candy Paint","Post Malone",531297,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
36,changes,XXXTENTACION,529352,https://open.spotify.com/track/4PANCoXZX3RaT2D6mqSdEU
37,Congratulations,"Post Malone",526685,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
