Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1618538,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2,"Shape of You","Ed Sheeran",1461471,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Fake Love",Drake,1261267,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
4,Starboy,"The Weeknd",1085057,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,909647,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
6,"Bounce Back","Big Sean",860893,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
7,"Castle on the Hill","Ed Sheeran",856648,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
8,Caroline,Aminé,798402,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
9,"Black Beatles","Rae Sremmurd",764677,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
10,Closer,"The Chainsmokers",762051,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
11,"Bad Things (with Camila Cabello)","Machine Gun Kelly",759175,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
12,"I Feel It Coming","The Weeknd",726825,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,"iSpy (feat. Lil Yachty)",KYLE,649082,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
14,"Broccoli (feat. Lil Yachty)",DRAM,640404,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
15,"Say You Won't Let Go","James Arthur",579214,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
16,"X (feat. Future)","21 Savage",567445,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
17,"Don't Wanna Know","Maroon 5",564533,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
18,"Deja Vu","J. Cole",552809,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
19,"No Heart","21 Savage",543785,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
20,"Chill Bill","Rob $tone",533101,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
21,"24K Magic","Bruno Mars",525081,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
22,"Party Monster","The Weeknd",503707,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
23,"One Dance",Drake,495688,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
24,Sneakin’,Drake,482103,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
25,"How Far I'll Go - From ""Moana""","Alessia Cara",476530,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
26,"You Was Right","Lil Uzi Vert",470026,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
27,"All Time Low","Jon Bellion",465959,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
