Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",3255141,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,DNA.,"Kendrick Lamar",2622471,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
3,ELEMENT.,"Kendrick Lamar",1768858,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
4,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",1655228,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
5,"Mask Off",Future,1570269,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
6,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1550615,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
7,"XO TOUR Llif3","Lil Uzi Vert",1391291,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
8,"XXX. FEAT. U2.","Kendrick Lamar",1338335,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
9,YAH.,"Kendrick Lamar",1283276,https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni
10,FEEL.,"Kendrick Lamar",1185770,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
11,PRIDE.,"Kendrick Lamar",1159459,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
12,Passionfruit,Drake,1124979,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
13,"iSpy (feat. Lil Yachty)",KYLE,1100358,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
14,LUST.,"Kendrick Lamar",1090428,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
15,"That's What I Like","Bruno Mars",1065602,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
16,"Shape of You","Ed Sheeran",1062657,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,FEAR.,"Kendrick Lamar",934597,https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6
18,"Despacito - Remix","Luis Fonsi",930984,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
19,Location,Khalid,924732,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
20,Congratulations,"Post Malone",924145,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
21,Portland,Drake,899264,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
22,GOD.,"Kendrick Lamar",895730,https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I
23,"Stay (with Alessia Cara)",Zedd,893843,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
24,"Something Just Like This","The Chainsmokers",877026,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
25,"Tunnel Vision","Kodak Black",876883,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
26,DUCKWORTH.,"Kendrick Lamar",852667,https://open.spotify.com/track/0y9uTzK9cNKSAEHnpeRG8C
27,BLOOD.,"Kendrick Lamar",821341,https://open.spotify.com/track/1n4jwRVXdkK2U34nBDUKKT
28,"It Ain't Me (with Selena Gomez)",Kygo,789143,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
29,Slide,"Calvin Harris",726756,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
30,Issues,"Julia Michaels",723177,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
31,"Bounce Back","Big Sean",660773,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
32,"Body Like A Back Road","Sam Hunt",648642,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
33,"Sign of the Times","Harry Styles",630601,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
34,T-Shirt,Migos,621205,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
35,"Look At Me!",XXXTENTACION,602198,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
36,goosebumps,"Travis Scott",599089,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
37,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,596221,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
38,Paris,"The Chainsmokers",583156,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
39,Gyalchester,Drake,563358,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
40,Selfish,Future,557316,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
41,"Fake Love",Drake,556838,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
42,Swang,"Rae Sremmurd",531925,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
43,"Now Or Never",Halsey,517056,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
44,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",512108,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
45,Believer,"Imagine Dragons",506259,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
46,"The One","The Chainsmokers",500457,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
47,Redbone,"Childish Gambino",497485,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
48,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",479773,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
49,"The Cure","Lady Gaga",453588,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
50,Unforgettable,"French Montana",431035,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
51,Closer,"The Chainsmokers",429370,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
52,"Symphony (feat. Zara Larsson)","Clean Bandit",428995,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
53,"Galway Girl","Ed Sheeran",422859,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
54,"Good Life (with G-Eazy & Kehlani)",G-Eazy,416710,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
55,Rolex,"Ayo & Teo",414133,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
56,Cold,"Maroon 5",413041,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
57,"Say You Won't Let Go","James Arthur",412323,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
58,Starboy,"The Weeknd",400044,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
59,"I Feel It Coming","The Weeknd",397473,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
60,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,393782,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
61,"do re mi",Blackbear,388367,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
62,Moves,"Big Sean",387065,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
63,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",385825,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
64,"Scared to Be Lonely","Martin Garrix",384483,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
65,"Peek A Boo","Lil Yachty",382582,https://open.spotify.com/track/5hx4FpDZOnDVYlyoG3rMks
66,"Black SpiderMan",Logic,380331,https://open.spotify.com/track/7BKUWh5sdtdS17crohRe4L
67,"Call On Me - Ryan Riback Extended Remix",Starley,362079,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
68,Blem,Drake,359674,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
69,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",354679,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
70,"Green Light",Lorde,354580,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
71,"Break Up Every Night","The Chainsmokers",350317,https://open.spotify.com/track/6cPyTS0Kk2sc4xQwC93kOg
72,"Broccoli (feat. Lil Yachty)",DRAM,340270,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
73,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",335944,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
74,"Free Smoke",Drake,333003,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
75,Everybody,Logic,327310,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
76,Weak,AJR,324788,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
77,"Teenage Fever",Drake,323541,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
78,"No Promises (feat. Demi Lovato)","Cheat Codes",321218,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
79,Caroline,Aminé,317577,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
80,wokeuplikethis*,"Playboi Carti",312350,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
81,Everyday,"Ariana Grande",307415,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
82,"X (feat. Future)","21 Savage",307391,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
83,"Still Got Time",ZAYN,302249,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
84,"The Night We Met","Lord Huron",300492,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
85,"Losin Control",Russ,299098,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d
86,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha",298297,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
