Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1957676,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Mask Off",Future,1411238,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
3,"iSpy (feat. Lil Yachty)",KYLE,1290253,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"That's What I Like","Bruno Mars",1237786,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
5,"Tunnel Vision","Kodak Black",1098217,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
6,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1082287,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
7,"Galway Girl","Ed Sheeran",1027310,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
8,"It Ain't Me (with Selena Gomez)",Kygo,1022620,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,Congratulations,"Post Malone",998376,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
10,"Bounce Back","Big Sean",997603,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
11,"Something Just Like This","The Chainsmokers",985132,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,898608,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
13,"Stay (with Alessia Cara)",Zedd,898105,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
14,Issues,"Julia Michaels",883659,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,Paris,"The Chainsmokers",871059,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
16,"Castle on the Hill","Ed Sheeran",842157,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
17,T-Shirt,Migos,840278,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
18,"No Frauds","Nicki Minaj",789907,https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0
19,Slide,"Calvin Harris",769387,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
20,"Fake Love",Drake,744270,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
21,Perfect,"Ed Sheeran",734916,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
22,"I Feel It Coming","The Weeknd",689391,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
23,Dive,"Ed Sheeran",686440,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
24,Location,Khalid,685483,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
25,Happier,"Ed Sheeran",678683,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
26,Swang,"Rae Sremmurd",678047,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
27,"Green Light",Lorde,671544,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
28,"Body Like A Back Road","Sam Hunt",652284,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
