Position,"Track Name",Artist,Streams,URL
1,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1518013,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
2,"Shape of You","Ed Sheeran",1397552,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,"Fake Love",Drake,1273168,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
4,Paris,"The Chainsmokers",1129310,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
5,Starboy,"The Weeknd",1040294,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,965716,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
7,"Bounce Back","Big Sean",886036,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
8,Caroline,Aminé,790208,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
9,"iSpy (feat. Lil Yachty)",KYLE,772169,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
10,"Bad Things (with Camila Cabello)","Machine Gun Kelly",759924,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
11,"I Feel It Coming","The Weeknd",735760,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
12,Closer,"The Chainsmokers",724689,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
13,"Black Beatles","Rae Sremmurd",720784,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
14,"Castle on the Hill","Ed Sheeran",626632,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
15,"Say You Won't Let Go","James Arthur",588178,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
16,"Broccoli (feat. Lil Yachty)",DRAM,580793,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
17,"X (feat. Future)","21 Savage",565809,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
18,"Don't Wanna Know","Maroon 5",562311,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
19,T-Shirt,Migos,541271,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
20,"All Time Low","Jon Bellion",531594,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
21,"Deja Vu","J. Cole",524790,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
22,"Chill Bill","Rob $tone",522018,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
23,"No Heart","21 Savage",519676,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
24,"24K Magic","Bruno Mars",503183,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
25,"How Far I'll Go - From ""Moana""","Alessia Cara",485810,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
26,"Party Monster","The Weeknd",483937,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
27,"Call On Me - Ryan Riback Extended Remix",Starley,474580,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
28,Redbone,"Childish Gambino",459512,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
29,"You Was Right","Lil Uzi Vert",459422,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
30,Sneakin’,Drake,447981,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
31,"One Dance",Drake,446073,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
32,Swang,"Rae Sremmurd",438281,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
33,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",431894,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
34,"Side To Side","Ariana Grande",427846,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
35,Mercy,"Shawn Mendes",427212,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
36,"Scars To Your Beautiful","Alessia Cara",414893,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
37,Weak,AJR,412429,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
38,"Love Me Now","John Legend",409588,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
39,"Some Kind Of Drug",G-Eazy,405683,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
40,"Let Me Love You","DJ Snake",405451,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
41,"In the Name of Love","Martin Garrix",402342,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
42,"Just Hold On","Steve Aoki",401355,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
43,Starving,"Hailee Steinfeld",398047,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
44,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",394681,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
45,Heathens,"Twenty One Pilots",385743,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
46,"Six Feet Under","The Weeknd",382392,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY
47,Changing,"John Mayer",364991,https://open.spotify.com/track/6eIygPhGcBFKKcxlGTJlY0
48,Selfish,"PnB Rock",361591,https://open.spotify.com/track/2xbI8Vmyv3TkpTdywpPyNw
49,"All Night","The Vamps",346549,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
50,"Now and Later","Sage The Gemini",346010,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
51,"High For Hours","J. Cole",345982,https://open.spotify.com/track/4WfjYOo0JxommRm1PyObJl
52,"Moving On and Getting Over","John Mayer",340658,https://open.spotify.com/track/1crSsvtU9wZB15dIQXV2QH
53,"All We Know","The Chainsmokers",339191,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
54,"Both (feat. Drake)","Gucci Mane",326560,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
55,Moves,"Big Sean",321072,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
56,"Love On The Brain",Rihanna,317027,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
57,Chantaje,Shakira,315812,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
58,Sidewalks,"The Weeknd",315609,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
59,"Used to This",Future,311260,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM
60,Controlla,Drake,309584,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
61,goosebumps,"Travis Scott",309275,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
62,"Make Me (Cry)","Noah Cyrus",308385,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
63,Neighbors,"J. Cole",305023,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
64,Issues,"Julia Michaels",304681,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
65,Water,"Ugly God",304363,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt
66,"Too Good",Drake,301784,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
67,"pick up the phone","Young Thug",301339,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
68,"Needed Me",Rihanna,296154,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
69,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",292053,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
70,"Too Many Years","Kodak Black",290745,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
71,"Don't Leave",Snakehips,290458,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
72,OOOUUU,"Young M.A",289815,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL
73,Light,"San Holo",289002,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
74,"Not Going Home",DVBBS,283871,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
75,"Sunset Lover","Petit Biscuit",283770,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
76,"Setting Fires","The Chainsmokers",279508,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
77,"Love on the Weekend","John Mayer",278856,https://open.spotify.com/track/0oiCeOPwm4zhwfyIpAE37y
78,"No Role Modelz","J. Cole",276699,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
79,"Money Longer","Lil Uzi Vert",275281,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
80,"Don't Let Me Down","The Chainsmokers",274262,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
81,"Low Life",Future,272846,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
82,Panda,Desiigner,269561,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
83,"Gassed Up","Nebu Kiniza",269337,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO
84,Congratulations,"Post Malone",265687,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
85,"Water Under the Bridge",Adele,264502,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
86,"Erase Your Social","Lil Uzi Vert",261470,https://open.spotify.com/track/4uhvMW7ly7tJil31YYscAN
87,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",255350,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
88,"Solo Dance","Martin Jensen",254605,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
89,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",254523,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
90,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,253723,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
91,Don't,"Bryson Tiller",251123,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
92,"I Got You","Bebe Rexha",251087,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
93,"White Iverson","Post Malone",249373,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
94,Immortal,"J. Cole",247769,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl
95,Reminder,"The Weeknd",243476,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
96,"You're Gonna Live Forever in Me","John Mayer",242845,https://open.spotify.com/track/51lPx6ZCSalL2kvSrDUyJc
97,Ride,"Twenty One Pilots",241816,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
