Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",1366885,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1118661,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
3,"iSpy (feat. Lil Yachty)",KYLE,1089250,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
4,"Something Just Like This","The Chainsmokers",1031807,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
5,"Bounce Back","Big Sean",919101,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
6,"It Ain't Me (with Selena Gomez)",Kygo,901850,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,864956,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
8,"That's What I Like","Bruno Mars",835799,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,Congratulations,"Post Malone",796370,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
10,Paris,"The Chainsmokers",790896,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
11,Slide,"Calvin Harris",767863,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
12,"Tunnel Vision","Kodak Black",766943,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
13,"Fake Love",Drake,754190,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
14,Issues,"Julia Michaels",717019,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,T-Shirt,Migos,688484,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
16,"I Feel It Coming","The Weeknd",609671,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
17,"Stay (with Alessia Cara)",Zedd,601999,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
18,Starboy,"The Weeknd",595442,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
19,"Mask Off",Future,557622,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
20,Caroline,Aminé,555536,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
21,Swang,"Rae Sremmurd",555298,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
22,"Body Like A Back Road","Sam Hunt",553929,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
23,"Chained To The Rhythm","Katy Perry",546401,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
24,Closer,"The Chainsmokers",535487,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
25,"Bad Things (with Camila Cabello)","Machine Gun Kelly",520722,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
26,"Say You Won't Let Go","James Arthur",515938,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
27,"Scared to Be Lonely","Martin Garrix",507652,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
28,"Comin Out Strong",Future,506707,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
29,Believer,"Imagine Dragons",495878,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
30,Cold,"Maroon 5",489115,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
31,"Black Beatles","Rae Sremmurd",482088,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
32,"All Time Low","Jon Bellion",461521,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
33,Moves,"Big Sean",459437,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
34,"Broccoli (feat. Lil Yachty)",DRAM,454358,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
35,Selfish,Future,451022,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
36,goosebumps,"Travis Scott",437762,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
37,"How Far I'll Go - From ""Moana""","Alessia Cara",427944,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
38,"X (feat. Future)","21 Savage",426929,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
39,"No Heart","21 Savage",423310,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
40,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",421417,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
41,"Call On Me - Ryan Riback Extended Remix",Starley,400709,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
42,"Party Monster","The Weeknd",399715,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
43,"Both (feat. Drake)","Gucci Mane",398626,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
44,Weak,AJR,396631,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
45,"Castle on the Hill","Ed Sheeran",393509,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
46,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",387559,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
47,"24K Magic","Bruno Mars",371798,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
48,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",368896,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
49,"One Dance",Drake,348119,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
50,"Some Kind Of Drug",G-Eazy,337964,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
51,"Look at Me!",XXXTENTACION,332132,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
52,Redbone,"Childish Gambino",329936,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
53,Location,Khalid,326452,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
54,"No Favors","Big Sean",318365,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
55,"Deja Vu","J. Cole",313036,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
56,"Slippery (feat. Gucci Mane)",Migos,308992,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
57,Sneakin’,Drake,300632,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
58,"Rent Money",Future,300177,https://open.spotify.com/track/4Zxdw0Hno7YDu0IzvY76Qo
59,"I Got You","Bebe Rexha",298629,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
60,"All Night","The Vamps",298587,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
61,"Don't Leave",Snakehips,295566,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
62,"Chill Bill","Rob $tone",293169,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
