,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
All Your Life,0.0312,0.518,216880,0.624,0.000171,0,0.131,-6.1339999999999995,0.0256,87.565,4,0.24100000000000002,0
Alone Together,0.00159,0.465,203413,0.909,2.3199999999999998e-05,9,0.215,-3.702,0.0825,179.938,4,0.593,0
Alone With You,0.7979999999999999,0.5529999999999999,186584,0.27399999999999997,7.13e-06,1,0.10300000000000001,-12.564,0.0379,86.67200000000001,4,0.20800000000000002,0
Already Callin' You Mine,0.0504,0.59,184387,0.887,0.0,1,0.132,-2.634,0.0353,120.061,4,0.679,0
Alright,0.0734,0.7909999999999999,219333,0.779,0.0,7,0.0832,-5.972,0.235,110.037,4,0.56,0
Am I The Only One,0.29,0.579,191253,0.878,0.0,2,0.789,-5.396,0.145,165.972,4,0.88,0
Am I Wrong,0.162,0.725,247520,0.68,2.13e-06,8,0.158,-5.465,0.0306,119.939,4,0.76,0
Amen,0.00101,0.563,180243,0.772,1.95e-05,5,0.214,-6.737,0.0593,119.90899999999999,4,0.39399999999999996,0
American Country Love Song,0.0457,0.529,199747,0.8909999999999999,0.0,8,0.0942,-4.36,0.043,104.031,4,0.32899999999999996,0
American Honey,0.508,0.588,224867,0.684,0.0,1,0.141,-5.154,0.0288,85.99700000000001,4,0.121,0
American Kids,0.0476,0.733,182960,0.589,5.85e-06,7,0.0366,-7.37,0.1,170.097,4,0.867,0
American Saturday Night,0.512,0.493,321640,0.643,2.42e-05,0,0.209,-5.19,0.0299,144.717,4,0.3,0
Angel Eyes,0.0134,0.6559999999999999,186627,0.696,0.0,8,0.0753,-5.917000000000001,0.0261,108.015,4,0.966,0
Angel In Blue Jeans,0.0151,0.616,204467,0.83,7.44e-06,0,0.102,-4.757,0.034,115.01,4,0.732,0
Animal,0.0746,0.755,199693,0.8320000000000001,1.27e-06,2,0.29100000000000004,-2.741,0.11599999999999999,120.03200000000001,4,0.735,0
Animals,0.207,0.6829999999999999,190428,0.53,0.0,5,0.39399999999999996,-4.918,0.142,75.016,4,0.645,0
Another Round,0.114,0.605,226693,0.622,0.0,0,0.15,-5.132999999999999,0.0425,136.012,3,0.177,0
Antidote,0.007670000000000001,0.713,262693,0.526,0.000148,1,0.124,-5.046,0.032,131.05,4,0.131,0
Any Ol' Barstool,0.312,0.536,203293,0.722,0.0,4,0.11699999999999999,-4.163,0.0284,143.78,4,0.499,0
Anything Could Happen,0.429,0.514,286082,0.79,0.0,0,0.12300000000000001,-3.895,0.0599,206.033,4,0.41700000000000004,0
Anything Goes,0.00172,0.462,218867,0.977,0.0,0,0.35200000000000004,-3.805,0.045,154.03799999999998,4,0.746,0
Anywhere With You,0.0418,0.475,209587,0.9359999999999999,0.0,5,0.0873,-2.545,0.0413,151.988,4,0.598,0
Apparently,0.564,0.8009999999999999,293040,0.5429999999999999,0.0,5,0.11599999999999999,-9.236,0.091,133.982,4,0.534,0
