,1986-01-01,1986-01-06,1986-01-11,1986-01-16,1986-01-21,1986-01-26,1986-01-31,1986-02-05,1986-02-10,1986-02-15,1986-02-20,1986-02-25,1986-03-02,1986-03-07,1986-03-12,1986-03-17,1986-03-22,1986-03-27,1986-04-01,1986-04-06,1986-04-11,1986-04-16,1986-04-21,1986-04-26,1986-05-01,1986-05-06,1986-05-11,1986-05-16,1986-05-21,1986-05-26,1986-05-31,1986-06-05,1986-06-10,1986-06-15,1986-06-20,1986-06-25,1986-06-30,1986-07-05,1986-07-10,1986-07-15,1986-07-20,1986-07-25,1986-07-30,1986-08-04,1986-08-09,1986-08-14,1986-08-19,1986-08-24,1986-08-29,1986-09-03,1986-09-08,1986-09-13,1986-09-18,1986-09-23,1986-09-28,1986-10-03,1986-10-08,1986-10-13,1986-10-18,1986-10-23,1986-10-28,1986-11-02,1986-11-07,1986-11-12,1986-11-17,1986-11-22,1986-11-27,1986-12-02,1986-12-07,1986-12-12,1986-12-17,1986-12-22,1986-12-27
0,"Say You, Say Me , Lionel Richie","Say You, Say Me , Lionel Richie","Say You, Say Me , Lionel Richie","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","How Will I Know , Whitney Houston","How Will I Know , Whitney Houston","How Will I Know , Whitney Houston","Kyrie , Mr. Mister","Kyrie , Mr. Mister","Kyrie , Mr. Mister","Sara , Starship","These Dreams , Heart","These Dreams , Heart","Rock Me Amadeus , Falco","Rock Me Amadeus , Falco","Rock Me Amadeus , Falco","Rock Me Amadeus , Falco","Kiss , Prince And The Revolution","Kiss , Prince And The Revolution","Kiss , Prince And The Revolution","Addicted To Love , Robert Palmer","West End Girls , Pet Shop Boys","Greatest Love Of All , Whitney Houston","Greatest Love Of All , Whitney Houston","Greatest Love Of All , Whitney Houston","Greatest Love Of All , Whitney Houston","Greatest Love Of All , Whitney Houston","Live To Tell , Madonna","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","Holding Back The Years , Simply Red","Invisible Touch , Genesis","Sledgehammer , Peter Gabriel","Sledgehammer , Peter Gabriel","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Papa Don't Preach , Madonna","Papa Don't Preach , Madonna","Higher Love , Steve Winwood","Higher Love , Steve Winwood","Venus , Bananarama","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Stuck With You , Huey Lewis & The News","Stuck With You , Huey Lewis & The News","Stuck With You , Huey Lewis & The News","Stuck With You , Huey Lewis & The News","When I Think Of You , Janet Jackson","When I Think Of You , Janet Jackson","When I Think Of You , Janet Jackson","True Colors , Cyndi Lauper","True Colors , Cyndi Lauper","Amanda , Boston","Amanda , Boston","Amanda , Boston","Human , The Human League","Human , The Human League","You Give Love A Bad Name , Bon Jovi","The Next Time I Fall , Peter Cetera With Amy Grant","The Way It Is , Bruce Hornsby & The Range","The Way It Is , Bruce Hornsby & The Range","Walk Like An Egyptian , The Bangles","Walk Like An Egyptian , The Bangles","Walk Like An Egyptian , The Bangles"
1,"Party All The Time , Eddie Murphy","Party All The Time , Eddie Murphy","Party All The Time , Eddie Murphy","Say You, Say Me , Lionel Richie","Say You, Say Me , Lionel Richie","Burning Heart , Survivor","Burning Heart , Survivor","Burning Heart , Survivor","When The Going Gets Tough, The Tough Get Going , Billy Ocean","When The Going Gets Tough, The Tough Get Going , Billy Ocean","Kyrie , Mr. Mister","How Will I Know , Whitney Houston","Sara , Starship","Sara , Starship","These Dreams , Heart","Sara , Starship","Sara , Starship","These Dreams , Heart","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","Kiss , Prince And The Revolution","Kiss , Prince And The Revolution","Manic Monday , The Bangles","Addicted To Love , Robert Palmer","Addicted To Love , Robert Palmer","West End Girls , Pet Shop Boys","Addicted To Love , Robert Palmer","West End Girls , Pet Shop Boys","West End Girls , Pet Shop Boys","Live To Tell , Madonna","Live To Tell , Madonna","Live To Tell , Madonna","On My Own , Patti LaBelle & Michael McDonald","Live To Tell , Madonna","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","Holding Back The Years , Simply Red","Holding Back The Years , Simply Red","Invisible Touch , Genesis","Sledgehammer , Peter Gabriel","Danger Zone , Kenny Loggins","Danger Zone , Kenny Loggins","Sledgehammer , Peter Gabriel","Papa Don't Preach , Madonna","Papa Don't Preach , Madonna","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Higher Love , Steve Winwood","Venus , Bananarama","Venus , Bananarama","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Dancing On The Ceiling , Lionel Richie","Dancing On The Ceiling , Lionel Richie","Dancing On The Ceiling , Lionel Richie","Friends And Lovers , Carl Anderson & Gloria Loring","Friends And Lovers , Carl Anderson & Gloria Loring","Friends And Lovers , Carl Anderson & Gloria Loring","Don't Forget Me (When I'm Gone) , Glass Tiger","Typical Male , Tina Turner","Typical Male , Tina Turner","Typical Male , Tina Turner","Typical Male , Tina Turner","I Didn't Mean To Turn You On , Robert Palmer","I Didn't Mean To Turn You On , Robert Palmer","Human , The Human League","Amanda , Boston","Amanda , Boston","Human , The Human League","You Give Love A Bad Name , Bon Jovi","Walk Like An Egyptian , The Bangles","Walk Like An Egyptian , The Bangles","The Way It Is , Bruce Hornsby & The Range","Everybody Have Fun Tonight , Wang Chung","Everybody Have Fun Tonight , Wang Chung"
2,"Alive & Kicking , Simple Minds","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","Party All The Time , Eddie Murphy","Burning Heart , Survivor","I'm Your Man , Wham!","I'm Your Man , Wham!","I'm Your Man , Wham!","Burning Heart , Survivor","Burning Heart , Survivor","When The Going Gets Tough, The Tough Get Going , Billy Ocean","Sara , Starship","How Will I Know , Whitney Houston","How Will I Know , Whitney Houston","Kyrie , Mr. Mister","Secret Lovers , Atlantic Starr","Secret Lovers , Atlantic Starr","Secret Lovers , Atlantic Starr","Kiss , Prince And The Revolution","Manic Monday , The Bangles","Manic Monday , The Bangles","Addicted To Love , Robert Palmer","West End Girls , Pet Shop Boys","West End Girls , Pet Shop Boys","Kiss , Prince And The Revolution","Greatest Love Of All , Whitney Houston","Why Can't This Be Love , Van Halen","Why Can't This Be Love , Van Halen","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","Greatest Love Of All , Whitney Houston","I Can't Wait , Nu Shooz","Crush On You , The Jets","Crush On You , The Jets","Crush On You , The Jets","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","Nasty , Janet Jackson","Invisible Touch , Genesis","Invisible Touch , Genesis","Danger Zone , Kenny Loggins","Mad About You , Belinda Carlisle","Mad About You , Belinda Carlisle","Mad About You , Belinda Carlisle","Venus , Bananarama","Papa Don't Preach , Madonna","Papa Don't Preach , Madonna","Higher Love , Steve Winwood","Stuck With You , Huey Lewis & The News","Stuck With You , Huey Lewis & The News","Friends And Lovers , Carl Anderson & Gloria Loring","Dancing On The Ceiling , Lionel Richie","When I Think Of You , Janet Jackson","When I Think Of You , Janet Jackson","Two Of Hearts , Stacey Q","True Colors , Cyndi Lauper","True Colors , Cyndi Lauper","When I Think Of You , Janet Jackson","I Didn't Mean To Turn You On , Robert Palmer","True Colors , Cyndi Lauper","True Colors , Cyndi Lauper","True Blue , Madonna","True Blue , Madonna","True Blue , Madonna","True Blue , Madonna","Hip To Be Square , Huey Lewis & The News","Hip To Be Square , Huey Lewis & The News","Hip To Be Square , Huey Lewis & The News","Everybody Have Fun Tonight , Wang Chung","Notorious , Duran Duran","Notorious , Duran Duran"
3,"That's What Friends Are For , Dionne & Friends","Alive & Kicking , Simple Minds","Alive & Kicking , Simple Minds","Alive & Kicking , Simple Minds","Talk To Me , Stevie Nicks","Talk To Me , Stevie Nicks","Talk To Me , Stevie Nicks","When The Going Gets Tough, The Tough Get Going , Billy Ocean","Kyrie , Mr. Mister","Kyrie , Mr. Mister","Sara , Starship","Living In America , James Brown","These Dreams , Heart","These Dreams , Heart","Secret Lovers , Atlantic Starr","Rock Me Amadeus , Falco","Rock Me Amadeus , Falco","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","Secret Lovers , Atlantic Starr","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","Rock Me Amadeus , Falco","Manic Monday , The Bangles","Manic Monday , The Bangles","Why Can't This Be Love , Van Halen","Why Can't This Be Love , Van Halen","What Have You Done For Me Lately , Janet Jackson","What Have You Done For Me Lately , Janet Jackson","West End Girls , Pet Shop Boys","If You Leave , Orchestral Manoeuvres In The Dark","If You Leave , Orchestral Manoeuvres In The Dark","I Can't Wait , Nu Shooz","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","Live To Tell , Madonna","Live To Tell , Madonna","Holding Back The Years , Simply Red","No One Is To Blame , Howard Jones","No One Is To Blame , Howard Jones","Nasty , Janet Jackson","Danger Zone , Kenny Loggins","Nasty , Janet Jackson","Nasty , Janet Jackson","Papa Don't Preach , Madonna","Sledgehammer , Peter Gabriel","Sledgehammer , Peter Gabriel","Higher Love , Steve Winwood","Mad About You , Belinda Carlisle","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Dancing On The Ceiling , Lionel Richie","Friends And Lovers , Carl Anderson & Gloria Loring","Friends And Lovers , Carl Anderson & Gloria Loring","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Walk This Way , Run-D.M.C.","Don't Forget Me (When I'm Gone) , Glass Tiger","Don't Forget Me (When I'm Gone) , Glass Tiger","Throwing It All Away , Genesis","Throwing It All Away , Genesis","Throwing It All Away , Genesis","I Didn't Mean To Turn You On , Robert Palmer","Amanda , Boston","Human , The Human League","Human , The Human League","Take Me Home Tonight , Eddie Money","You Give Love A Bad Name , Bon Jovi","You Give Love A Bad Name , Bon Jovi","The Next Time I Fall , Peter Cetera With Amy Grant","The Way It Is , Bruce Hornsby & The Range","The Next Time I Fall , Peter Cetera With Amy Grant","The Next Time I Fall , Peter Cetera With Amy Grant","Notorious , Duran Duran","Shake You Down , Gregory Abbott","Shake You Down , Gregory Abbott"
4,"I Miss You , Klymaxx","I Miss You , Klymaxx","I Miss You , Klymaxx","I Miss You , Klymaxx","I'm Your Man , Wham!","Say You, Say Me , Lionel Richie","Say You, Say Me , Lionel Richie","How Will I Know , Whitney Houston","That's What Friends Are For , Dionne & Friends","That's What Friends Are For , Dionne & Friends","Living In America , James Brown","The Sweetest Taboo , Sade","Secret Lovers , Atlantic Starr","Secret Lovers , Atlantic Starr","How Will I Know , Whitney Houston","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","Kiss , Prince And The Revolution","These Dreams , Heart","What You Need , INXS","What You Need , INXS","West End Girls , Pet Shop Boys","Why Can't This Be Love , Van Halen","Why Can't This Be Love , Van Halen","Harlem Shuffle , The Rolling Stones","What Have You Done For Me Lately , Janet Jackson","Live To Tell , Madonna","Live To Tell , Madonna","If You Leave , Orchestral Manoeuvres In The Dark","I Can't Wait , Nu Shooz","I Can't Wait , Nu Shooz","All I Need Is A Miracle , Mike + The Mechanics","Crush On You , The Jets","I Can't Wait , Nu Shooz","I Can't Wait , Nu Shooz","No One Is To Blame , Howard Jones","Nasty , Janet Jackson","Nasty , Janet Jackson","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Holding Back The Years , Simply Red","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Invisible Touch , Genesis","We Don't Have To Take Our Clothes Off , Jermaine Stewart","We Don't Have To Take Our Clothes Off , Jermaine Stewart","We Don't Have To Take Our Clothes Off , Jermaine Stewart","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Dancing On The Ceiling , Lionel Richie","Dancing On The Ceiling , Lionel Richie","Friends And Lovers , Carl Anderson & Gloria Loring","Venus , Bananarama","Venus , Bananarama","Words Get In The Way , Miami Sound Machine","Don't Forget Me (When I'm Gone) , Glass Tiger","Dreamtime , Daryl Hall","Dreamtime , Daryl Hall","Typical Male , Tina Turner","Heartbeat , Don Johnson","Heartbeat , Don Johnson","Heartbeat , Don Johnson","Human , The Human League","True Blue , Madonna","True Blue , Madonna","You Give Love A Bad Name , Bon Jovi","Take Me Home Tonight , Eddie Money","Take Me Home Tonight , Eddie Money","Hip To Be Square , Huey Lewis & The News","Walk Like An Egyptian , The Bangles","Everybody Have Fun Tonight , Wang Chung","Everybody Have Fun Tonight , Wang Chung","Shake You Down , Gregory Abbott","The Way It Is , Bruce Hornsby & The Range","The Way It Is , Bruce Hornsby & The Range"
5,"Small Town , John Mellencamp","Small Town , John Mellencamp","Small Town , John Mellencamp","Small Town , John Mellencamp","My Hometown , Bruce Springsteen","My Hometown , Bruce Springsteen","My Hometown , Bruce Springsteen","Kyrie , Mr. Mister","I'm Your Man , Wham!","I'm Your Man , Wham!","The Sweetest Taboo , Sade","When The Going Gets Tough, The Tough Get Going , Billy Ocean","Silent Running (On Dangerous Ground) , Mike + The Mechanics","Silent Running (On Dangerous Ground) , Mike + The Mechanics","R.O.C.K. In The U.S.A. (A Salute to 60's Rock) , John Mellencamp","Kyrie , Mr. Mister","Kyrie , Mr. Mister","What You Need , INXS","What You Need , INXS","Addicted To Love , Robert Palmer","Addicted To Love , Robert Palmer","What You Need , INXS","Harlem Shuffle , The Rolling Stones","Harlem Shuffle , The Rolling Stones","What Have You Done For Me Lately , Janet Jackson","Your Love , The Outfield","Your Love , The Outfield","Your Love , The Outfield","What Have You Done For Me Lately , Janet Jackson","All I Need Is A Miracle , Mike + The Mechanics","All I Need Is A Miracle , Mike + The Mechanics","If You Leave , Orchestral Manoeuvres In The Dark","Greatest Love Of All , Whitney Houston","No One Is To Blame , Howard Jones","No One Is To Blame , Howard Jones","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Invisible Touch , Genesis","Invisible Touch , Genesis","Sledgehammer , Peter Gabriel","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Papa Don't Preach , Madonna","Papa Don't Preach , Madonna","Mad About You , Belinda Carlisle","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Venus , Bananarama","Dancing On The Ceiling , Lionel Richie","Friends And Lovers , Carl Anderson & Gloria Loring","Friends And Lovers , Carl Anderson & Gloria Loring","Stuck With You , Huey Lewis & The News","Higher Love , Steve Winwood","Higher Love , Steve Winwood","Walk This Way , Run-D.M.C.","Dreamtime , Daryl Hall","Two Of Hearts , Stacey Q","Two Of Hearts , Stacey Q","Stuck With You , Huey Lewis & The News","Two Of Hearts , Stacey Q","Two Of Hearts , Stacey Q","Amanda , Boston","True Blue , Madonna","Take Me Home Tonight , Eddie Money","Take Me Home Tonight , Eddie Money","I Didn't Mean To Turn You On , Robert Palmer","Word Up , Cameo","Word Up , Cameo","Word Up , Cameo","Word Up , Cameo","You Give Love A Bad Name , Bon Jovi","You Give Love A Bad Name , Bon Jovi","To Be A Lover , Billy Idol","C'est La Vie , Robbie Nevil","C'est La Vie , Robbie Nevil"
6,"Broken Wings , Mr. Mister","Tonight She Comes , The Cars","Tonight She Comes , The Cars","Talk To Me , Stevie Nicks","Walk Of Life , Dire Straits","When The Going Gets Tough, The Tough Get Going , Billy Ocean","When The Going Gets Tough, The Tough Get Going , Billy Ocean","Spies Like Us , Paul McCartney","Living In America , James Brown","Living In America , James Brown","Life In A Northern Town , The Dream Academy","Life In A Northern Town , The Dream Academy","The Sweetest Taboo , Sade","The Sweetest Taboo , Sade","Rock Me Amadeus , Falco","Nikita , Elton John","Nikita , Elton John","Nikita , Elton John","Manic Monday , The Bangles","Let's Go All The Way , Sly Fox","Let's Go All The Way , Sly Fox","Let's Go All The Way , Sly Fox","Rock Me Amadeus , Falco","Rock Me Amadeus , Falco","Greatest Love Of All , Whitney Houston","Take Me Home , Phil Collins","Take Me Home , Phil Collins","Take Me Home , Phil Collins","Take Me Home , Phil Collins","Something About You , Level 42","Something About You , Level 42","Something About You , Level 42","A Different Corner , George Michael","A Different Corner , George Michael","A Different Corner , George Michael","A Different Corner , George Michael","Crush On You , The Jets","Crush On You , The Jets","Danger Zone , Kenny Loggins","Glory Of Love (Theme From ""The Karate Kid Part II"") , Peter Cetera","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Danger Zone , Kenny Loggins","Danger Zone , Kenny Loggins","Dancing On The Ceiling , Lionel Richie","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Sweet Freedom (Theme From ""Running Scared"") , Michael McDonald","Sweet Freedom (Theme From ""Running Scared"") , Michael McDonald","Sweet Freedom (Theme From ""Running Scared"") , Michael McDonald","Sweet Freedom (Theme From ""Running Scared"") , Michael McDonald","Sweet Freedom (Theme From ""Running Scared"") , Michael McDonald","Venus , Bananarama","When I Think Of You , Janet Jackson","Throwing It All Away , Genesis","Throwing It All Away , Genesis","Heartbeat , Don Johnson","Don't Forget Me (When I'm Gone) , Glass Tiger","Don't Forget Me (When I'm Gone) , Glass Tiger","Throwing It All Away , Genesis","When I Think Of You , Janet Jackson","You Give Love A Bad Name , Bon Jovi","You Give Love A Bad Name , Bon Jovi","Word Up , Cameo","The Next Time I Fall , Peter Cetera With Amy Grant","The Next Time I Fall , Peter Cetera With Amy Grant","Amanda , Boston","Everybody Have Fun Tonight , Wang Chung","To Be A Lover , Billy Idol","To Be A Lover , Billy Idol","Hip To Be Square , Huey Lewis & The News","Control , Janet Jackson","Control , Janet Jackson"
7,"Separate Lives , Phil Collins and Marilyn Martin","Talk To Me , Stevie Nicks","Talk To Me , Stevie Nicks","Burning Heart , Survivor","I Miss You , Klymaxx","Spies Like Us , Paul McCartney","Spies Like Us , Paul McCartney","Talk To Me , Stevie Nicks","The Sweetest Taboo , Sade","The Sweetest Taboo , Sade","Silent Running (On Dangerous Ground) , Mike + The Mechanics","Silent Running (On Dangerous Ground) , Mike + The Mechanics","Living In America , James Brown","Living In America , James Brown","Silent Running (On Dangerous Ground) , Mike + The Mechanics","King For A Day , Thompson Twins","King For A Day , Thompson Twins","Sara , Starship","Let's Go All The Way , Sly Fox","West End Girls , Pet Shop Boys","West End Girls , Pet Shop Boys","Harlem Shuffle , The Rolling Stones","What Have You Done For Me Lately , Janet Jackson","What Have You Done For Me Lately , Janet Jackson","Your Love , The Outfield","Bad Boy , Miami Sound Machine","Bad Boy , Miami Sound Machine","Bad Boy , Miami Sound Machine","Bad Boy , Miami Sound Machine","Is It Love , Mr. Mister","Is It Love , Mr. Mister","Crush On You , The Jets","No One Is To Blame , Howard Jones","Holding Back The Years , Simply Red","Holding Back The Years , Simply Red","Invisible Touch , Genesis","On My Own , Patti LaBelle & Michael McDonald","On My Own , Patti LaBelle & Michael McDonald","No One Is To Blame , Howard Jones","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","Mad About You , Belinda Carlisle","Mad About You , Belinda Carlisle","Nasty , Janet Jackson","Higher Love , Steve Winwood","Higher Love , Steve Winwood","Rumors , Timex Social Club","We Don't Have To Take Our Clothes Off , Jermaine Stewart","Rumors , Timex Social Club","Rumors , Timex Social Club","Words Get In The Way , Miami Sound Machine","Words Get In The Way , Miami Sound Machine","Words Get In The Way , Miami Sound Machine","Don't Forget Me (When I'm Gone) , Glass Tiger","Two Of Hearts , Stacey Q","Walk This Way , Run-D.M.C.","Walk This Way , Run-D.M.C.","Friends And Lovers , Carl Anderson & Gloria Loring","I Didn't Mean To Turn You On , Robert Palmer","I Didn't Mean To Turn You On , Robert Palmer","All Cried Out , Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou","Sweet Love , Anita Baker","Typical Male , Tina Turner","Typical Male , Tina Turner","The Next Time I Fall , Peter Cetera With Amy Grant","Hip To Be Square , Huey Lewis & The News","Hip To Be Square , Huey Lewis & The News","The Way It Is , Bruce Hornsby & The Range","Human , The Human League","Notorious , Duran Duran","Notorious , Duran Duran","C'est La Vie , Robbie Nevil","War , Bruce Springsteen","War , Bruce Springsteen"
8,"Tonight She Comes , The Cars","Broken Wings , Mr. Mister","Broken Wings , Mr. Mister","Walk Of Life , Dire Straits","Party All The Time , Eddie Murphy","Walk Of Life , Dire Straits","Walk Of Life , Dire Straits","Living In America , James Brown","Sara , Starship","Sara , Starship","Burning Heart , Survivor","Secret Lovers , Atlantic Starr","Life In A Northern Town , The Dream Academy","Life In A Northern Town , The Dream Academy","King For A Day , Thompson Twins","What You Need , INXS","What You Need , INXS","Let's Go All The Way , Sly Fox","Addicted To Love , Robert Palmer","Harlem Shuffle , The Rolling Stones","Harlem Shuffle , The Rolling Stones","Why Can't This Be Love , Van Halen","Your Love , The Outfield","Your Love , The Outfield","Take Me Home , Phil Collins","Harlem Shuffle , The Rolling Stones","If You Leave , Orchestral Manoeuvres In The Dark","If You Leave , Orchestral Manoeuvres In The Dark","I Can't Wait , Nu Shooz","Be Good To Yourself , Journey","Be Good To Yourself , Journey","There'll Be Sad Songs (To Make You Cry) , Billy Ocean","All I Need Is A Miracle , Mike + The Mechanics","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Who's Johnny (""Short Circuit"" Theme) , El DeBarge","Nasty , Janet Jackson","Sledgehammer , Peter Gabriel","Sledgehammer , Peter Gabriel","Your Wildest Dreams , The Moody Blues","Your Wildest Dreams , The Moody Blues","Holding Back The Years , Simply Red","Holding Back The Years , Simply Red","We Don't Have To Take Our Clothes Off , Jermaine Stewart","Venus , Bananarama","Venus , Bananarama","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Rumors , Timex Social Club","Stuck With You , Huey Lewis & The News","Stuck With You , Huey Lewis & The News","Papa Don't Preach , Madonna","Walk This Way , Run-D.M.C.","Walk This Way , Run-D.M.C.","Dreamtime , Daryl Hall","Take My Breath Away (Love Theme From ""Top Gun"") , Berlin","Typical Male , Tina Turner","Typical Male , Tina Turner","True Colors , Cyndi Lauper","All Cried Out , Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou","All Cried Out , Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou","Human , The Human League","Take Me Home Tonight , Eddie Money","Word Up , Cameo","Word Up , Cameo","The Rain , Oran 'Juice' Jones","The Way It Is , Bruce Hornsby & The Range","The Way It Is , Bruce Hornsby & The Range","Love Will Conquer All , Lionel Richie","Love Will Conquer All , Lionel Richie","Shake You Down , Gregory Abbott","Shake You Down , Gregory Abbott","Stand By Me , Ben E. King","Stand By Me , Ben E. King","Stand By Me , Ben E. King"
9,"Election Day , Arcadia","Walk Of Life , Dire Straits","Walk Of Life , Dire Straits","Tonight She Comes , The Cars","Spies Like Us , Paul McCartney","Go Home , Stevie Wonder","Go Home , Stevie Wonder","Conga , Miami Sound Machine","Conga , Miami Sound Machine","Conga , Miami Sound Machine","That's What Friends Are For , Dionne & Friends","These Dreams , Heart","King For A Day , Thompson Twins","King For A Day , Thompson Twins","Nikita , Elton John","Kiss , Prince And The Revolution","Kiss , Prince And The Revolution","This Could Be The Night , Loverboy","Nikita , Elton John","Tender Love , Force M.D.'s","Tender Love , Force M.D.'s","Tender Love , Force M.D.'s","Take Me Home , Phil Collins","Take Me Home , Phil Collins","Manic Monday , The Bangles","If You Leave , Orchestral Manoeuvres In The Dark","Addicted To Love , Robert Palmer","Addicted To Love , Robert Palmer","All I Need Is A Miracle , Mike + The Mechanics","What Have You Done For Me Lately , Janet Jackson","What Have You Done For Me Lately , Janet Jackson","A Different Corner , George Michael","Something About You , Level 42","Nothin' At All , Heart","Nothin' At All , Heart","Sledgehammer , Peter Gabriel","Danger Zone , Kenny Loggins","Danger Zone , Kenny Loggins","Tuff Enuff , The Fabulous Thunderbirds","Love Touch (Theme From ""Legal Eagles"") , Rod Stewart","Modern Woman (From ""Ruthless People"") , Billy Joel","Modern Woman (From ""Ruthless People"") , Billy Joel","Opportunities (Let's Make Lots Of Money) , Pet Shop Boys","Rumors , Timex Social Club","Rumors , Timex Social Club","The Edge Of Heaven , Wham!","The Edge Of Heaven , Wham!","Mad About You , Belinda Carlisle","Mad About You , Belinda Carlisle","Walk This Way , Run-D.M.C.","Baby Love , Regina","Baby Love , Regina","Baby Love , Regina","Love Zone , Billy Ocean","Dancing On The Ceiling , Lionel Richie","Dancing On The Ceiling , Lionel Richie","Dreamtime , Daryl Hall","A Matter Of Trust , Billy Joel","A Matter Of Trust , Billy Joel","Sweet Love , Anita Baker","All Cried Out , Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou","The Rain , Oran 'Juice' Jones","The Rain , Oran 'Juice' Jones","True Colors , Cyndi Lauper","Love Will Conquer All , Lionel Richie","Love Will Conquer All , Lionel Richie","Walk Like An Egyptian , The Bangles","To Be A Lover , Billy Idol","Stand By Me , Ben E. King","Stand By Me , Ben E. King","The Next Time I Fall , Peter Cetera With Amy Grant","Don't Get Me Wrong , Pretenders","Don't Get Me Wrong , Pretenders"
