,1978-01-01,1978-01-06,1978-01-11,1978-01-16,1978-01-21,1978-01-26,1978-01-31,1978-02-05,1978-02-10,1978-02-15,1978-02-20,1978-02-25,1978-03-02,1978-03-07,1978-03-12,1978-03-17,1978-03-22,1978-03-27,1978-04-01,1978-04-06,1978-04-11,1978-04-16,1978-04-21,1978-04-26,1978-05-01,1978-05-06,1978-05-11,1978-05-16,1978-05-21,1978-05-26,1978-05-31,1978-06-05,1978-06-10,1978-06-15,1978-06-20,1978-06-25,1978-06-30,1978-07-05,1978-07-10,1978-07-15,1978-07-20,1978-07-25,1978-07-30,1978-08-04,1978-08-09,1978-08-14,1978-08-19,1978-08-24,1978-08-29,1978-09-03,1978-09-08,1978-09-13,1978-09-18,1978-09-23,1978-09-28,1978-10-03,1978-10-08,1978-10-13,1978-10-18,1978-10-23,1978-10-28,1978-11-02,1978-11-07,1978-11-12,1978-11-17,1978-11-22,1978-11-27,1978-12-02,1978-12-07,1978-12-12,1978-12-17,1978-12-22,1978-12-27
0,"How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","Baby Come Back , Player","Baby Come Back , Player","Baby Come Back , Player","Baby Come Back , Player","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","Night Fever , Bee Gees","If I Can't Have You , Yvonne Elliman","With A Little Luck , Wings","With A Little Luck , Wings","With A Little Luck , Wings","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","You're The One That I Want , John Travolta & Olivia Newton-John","You're The One That I Want , John Travolta & Olivia Newton-John","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Miss You , The Rolling Stones","Miss You , The Rolling Stones","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Grease , Frankie Valli","Grease , Frankie Valli","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Kiss You All Over , Exile","Kiss You All Over , Exile","Kiss You All Over , Exile","Kiss You All Over , Exile","Kiss You All Over , Exile","Hot Child In The City , Nick Gilder","Hot Child In The City , Nick Gilder","You Needed Me , Anne Murray","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","Le Freak , Chic","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","Le Freak , Chic","Le Freak , Chic","Le Freak , Chic"
1,"Baby Come Back , Player","Baby Come Back , Player","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","Short People , Randy Newman","Short People , Randy Newman","Short People , Randy Newman","Short People , Randy Newman","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","Stayin' Alive , Bee Gees","Night Fever , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","The Closer I Get To You , Roberta Flack With Donny Hathaway","The Closer I Get To You , Roberta Flack With Donny Hathaway","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","You're The One That I Want , John Travolta & Olivia Newton-John","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","You're The One That I Want , John Travolta & Olivia Newton-John","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Grease , Frankie Valli","Grease , Frankie Valli","Grease , Frankie Valli","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Kiss You All Over , Exile","Kiss You All Over , Exile","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Hot Child In The City , Nick Gilder","Hot Child In The City , Nick Gilder","Hot Child In The City , Nick Gilder","You Needed Me , Anne Murray","You Needed Me , Anne Murray","MacArthur Park , Donna Summer","You Needed Me , Anne Murray","Double Vision , Foreigner","Double Vision , Foreigner","Double Vision , Foreigner","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","Le Freak , Chic","Too Much Heaven , Bee Gees","Too Much Heaven , Bee Gees","Too Much Heaven , Bee Gees"
2,"Blue Bayou , Linda Ronstadt","Blue Bayou , Linda Ronstadt","Here You Come Again , Dolly Parton","Here You Come Again , Dolly Parton","Here You Come Again , Dolly Parton","Stayin' Alive , Bee Gees","Baby Come Back , Player","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","Just The Way You Are , Billy Joel","Just The Way You Are , Billy Joel","Just The Way You Are , Billy Joel","Sometimes When We Touch , Dan Hill","Sometimes When We Touch , Dan Hill","Emotion , Samantha Sang","Emotion , Samantha Sang","Emotion , Samantha Sang","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","With A Little Luck , Wings","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","You're The One That I Want , John Travolta & Olivia Newton-John","You're The One That I Want , John Travolta & Olivia Newton-John","Shadow Dancing , Andy Gibb","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Baker Street , Gerry Rafferty","It's A Heartache , Bonnie Tyler","It's A Heartache , Bonnie Tyler","It's A Heartache , Bonnie Tyler","Take A Chance On Me , ABBA","Take A Chance On Me , ABBA","Take A Chance On Me , ABBA","Miss You , The Rolling Stones","Miss You , The Rolling Stones","Grease , Frankie Valli","Grease , Frankie Valli","Last Dance , Donna Summer","Last Dance , Donna Summer","Last Dance , Donna Summer","Miss You , The Rolling Stones","Boogie Oogie Oogie , A Taste Of Honey","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Hopelessly Devoted To You , Olivia Newton-John","Hopelessly Devoted To You , Olivia Newton-John","Hopelessly Devoted To You , Olivia Newton-John","Hot Child In The City , Nick Gilder","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Reminiscing , Little River Band","Reminiscing , Little River Band","Reminiscing , Little River Band","Double Vision , Foreigner","How Much I Feel , Ambrosia","How Much I Feel , Ambrosia","How Much I Feel , Ambrosia","How Much I Feel , Ambrosia","How Much I Feel , Ambrosia","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","Too Much Heaven , Bee Gees","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond"
3,"(Every Time I Turn Around) Back In Love Again , LTD","(Every Time I Turn Around) Back In Love Again , LTD","You're In My Heart (The Final Acclaim) , Rod Stewart","You're In My Heart (The Final Acclaim) , Rod Stewart","You're In My Heart (The Final Acclaim) , Rod Stewart","You're In My Heart (The Final Acclaim) , Rod Stewart","We Will Rock You/We Are The Champions , Queen","We Will Rock You/We Are The Champions , Queen","We Will Rock You/We Are The Champions , Queen","We Will Rock You/We Are The Champions , Queen","Sometimes When We Touch , Dan Hill","Sometimes When We Touch , Dan Hill","Emotion , Samantha Sang","Emotion , Samantha Sang","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","The Closer I Get To You , Roberta Flack With Donny Hathaway","The Closer I Get To You , Roberta Flack With Donny Hathaway","The Closer I Get To You , Roberta Flack With Donny Hathaway","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","You're The One That I Want , John Travolta & Olivia Newton-John","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","With A Little Luck , Wings","Feels So Good , Chuck Mangione","Feels So Good , Chuck Mangione","It's A Heartache , Bonnie Tyler","You're The One That I Want , John Travolta & Olivia Newton-John","Take A Chance On Me , ABBA","Take A Chance On Me , ABBA","Use Ta Be My Girl , The O'Jays","Use Ta Be My Girl , The O'Jays","Use Ta Be My Girl , The O'Jays","Still The Same , Bob Seger & The Silver Bullet Band","Last Dance , Donna Summer","Last Dance , Donna Summer","Last Dance , Donna Summer","Miss You , The Rolling Stones","Miss You , The Rolling Stones","Miss You , The Rolling Stones","Boogie Oogie Oogie , A Taste Of Honey","Hot Blooded , Foreigner","Hopelessly Devoted To You , Olivia Newton-John","Hopelessly Devoted To You , Olivia Newton-John","Hopelessly Devoted To You , Olivia Newton-John","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Three Times A Lady , Commodores","Don't Look Back , Boston","Don't Look Back , Boston","Don't Look Back , Boston","Reminiscing , Little River Band","MacArthur Park , Donna Summer","MacArthur Park , Donna Summer","Double Vision , Foreigner","How Much I Feel , Ambrosia","You Needed Me , Anne Murray","You Needed Me , Anne Murray","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","Le Freak , Chic","Le Freak , Chic","I Just Wanna Stop , Gino Vannelli","I Just Wanna Stop , Gino Vannelli","My Life , Billy Joel","My Life , Billy Joel","My Life , Billy Joel"
4,"Here You Come Again , Dolly Parton","Here You Come Again , Dolly Parton","(Every Time I Turn Around) Back In Love Again , LTD","Short People , Randy Newman","Short People , Randy Newman","Slip Slidin' Away , Paul Simon","(Love Is) Thicker Than Water , Andy Gibb","Just The Way You Are , Billy Joel","Just The Way You Are , Billy Joel","Sometimes When We Touch , Dan Hill","Emotion , Samantha Sang","Emotion , Samantha Sang","Night Fever , Bee Gees","Lay Down Sally , Eric Clapton","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","Can't Smile Without You , Barry Manilow","Emotion , Samantha Sang","Emotion , Samantha Sang","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","The Closer I Get To You , Roberta Flack With Donny Hathaway","The Closer I Get To You , Roberta Flack With Donny Hathaway","With A Little Luck , Wings","With A Little Luck , Wings","With A Little Luck , Wings","Night Fever , Bee Gees","If I Can't Have You , Yvonne Elliman","The Closer I Get To You , Roberta Flack With Donny Hathaway","The Closer I Get To You , Roberta Flack With Donny Hathaway","Feels So Good , Chuck Mangione","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Take A Chance On Me , ABBA","Use Ta Be My Girl , The O'Jays","Use Ta Be My Girl , The O'Jays","Still The Same , Bob Seger & The Silver Bullet Band","Still The Same , Bob Seger & The Silver Bullet Band","Still The Same , Bob Seger & The Silver Bullet Band","Last Dance , Donna Summer","Grease , Frankie Valli","Shadow Dancing , Andy Gibb","Shadow Dancing , Andy Gibb","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Hopelessly Devoted To You , Olivia Newton-John","Kiss You All Over , Exile","Kiss You All Over , Exile","Kiss You All Over , Exile","An Everlasting Love , Andy Gibb","An Everlasting Love , Andy Gibb","Summer Nights , John Travolta & Olivia Newton-John & Cast","Summer Nights , John Travolta & Olivia Newton-John & Cast","Reminiscing , Little River Band","Reminiscing , Little River Band","You Needed Me , Anne Murray","Whenever I Call You ""Friend"" , Kenny Loggins","Whenever I Call You ""Friend"" , Kenny Loggins","Whenever I Call You ""Friend"" , Kenny Loggins","Hot Child In The City , Nick Gilder","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers , Barbra Streisand & Neil Diamond","You Needed Me , Anne Murray","I Just Wanna Stop , Gino Vannelli","I Just Wanna Stop , Gino Vannelli","How Much I Feel , Ambrosia","My Life , Billy Joel","I Love The Nightlife (Disco 'round) , Alicia Bridges","I Love The Nightlife (Disco 'round) , Alicia Bridges","I Love The Nightlife (Disco 'round) , Alicia Bridges"
5,"You Light Up My Life , Debby Boone","You Light Up My Life , Debby Boone","Slip Slidin' Away , Paul Simon","Slip Slidin' Away , Paul Simon","Slip Slidin' Away , Paul Simon","We Will Rock You/We Are The Champions , Queen","Just The Way You Are , Billy Joel","Sometimes When We Touch , Dan Hill","Sometimes When We Touch , Dan Hill","Emotion , Samantha Sang","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Stayin' Alive , Bee Gees","Can't Smile Without You , Barry Manilow","Can't Smile Without You , Barry Manilow","(Love Is) Thicker Than Water , Andy Gibb","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","Emotion , Samantha Sang","Dust In The Wind , Kansas","Dust In The Wind , Kansas","Dust In The Wind , Kansas","Lay Down Sally , Eric Clapton","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","You're The One That I Want , John Travolta & Olivia Newton-John","Shadow Dancing , Andy Gibb","Feels So Good , Chuck Mangione","Feels So Good , Chuck Mangione","The Closer I Get To You , Roberta Flack With Donny Hathaway","It's A Heartache , Bonnie Tyler","It's A Heartache , Bonnie Tyler","Take A Chance On Me , ABBA","You Belong To Me , Carly Simon","You Belong To Me , Carly Simon","You Belong To Me , Carly Simon","It's A Heartache , Bonnie Tyler","Miss You , The Rolling Stones","Miss You , The Rolling Stones","Grease , Frankie Valli","Three Times A Lady , Commodores","Baker Street , Gerry Rafferty","Baker Street , Gerry Rafferty","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Love Will Find A Way , Pablo Cruise","Miss You , The Rolling Stones","Grease , Frankie Valli","Grease , Frankie Valli","An Everlasting Love , Andy Gibb","Summer Nights , John Travolta & Olivia Newton-John & Cast","Summer Nights , John Travolta & Olivia Newton-John & Cast","Don't Look Back , Boston","Reminiscing , Little River Band","You Needed Me , Anne Murray","You Needed Me , Anne Murray","Whenever I Call You ""Friend"" , Kenny Loggins","Kiss You All Over , Exile","Kiss You All Over , Exile","Hot Child In The City , Nick Gilder","Kiss You All Over , Exile","Hot Child In The City , Nick Gilder","Hot Child In The City , Nick Gilder","Le Freak , Chic","Double Vision , Foreigner","Double Vision , Foreigner","I Love The Nightlife (Disco 'round) , Alicia Bridges","I Love The Nightlife (Disco 'round) , Alicia Bridges","I Just Wanna Stop , Gino Vannelli","I Just Wanna Stop , Gino Vannelli","I Just Wanna Stop , Gino Vannelli"
6,"Slip Slidin' Away , Paul Simon","Slip Slidin' Away , Paul Simon","Hey Deanie , Shaun Cassidy","Hey Deanie , Shaun Cassidy","Hey Deanie , Shaun Cassidy","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","Baby Come Back , Player","Baby Come Back , Player","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","We Will Rock You/We Are The Champions , Queen","We Will Rock You/We Are The Champions , Queen","Lay Down Sally , Eric Clapton","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","I Go Crazy , Paul Davis","I Go Crazy , Paul Davis","I Go Crazy , Paul Davis","I Go Crazy , Paul Davis","I Go Crazy , Paul Davis","Dust In The Wind , Kansas","The Closer I Get To You , Roberta Flack With Donny Hathaway","With A Little Luck , Wings","With A Little Luck , Wings","Dust In The Wind , Kansas","You're The One That I Want , John Travolta & Olivia Newton-John","You're The One That I Want , John Travolta & Olivia Newton-John","Can't Smile Without You , Barry Manilow","Feels So Good , Chuck Mangione","If I Can't Have You , Yvonne Elliman","If I Can't Have You , Yvonne Elliman","Imaginary Lover , Atlanta Rhythm Section","On Broadway , George Benson","On Broadway , George Benson","Feels So Good , Chuck Mangione","Use Ta Be My Girl , The O'Jays","Still The Same , Bob Seger & The Silver Bullet Band","Still The Same , Bob Seger & The Silver Bullet Band","Miss You , The Rolling Stones","The Groove Line , Heatwave","The Groove Line , Heatwave","The Groove Line , Heatwave","Still The Same , Bob Seger & The Silver Bullet Band","Use Ta Be My Girl , The O'Jays","Use Ta Be My Girl , The O'Jays","Love Will Find A Way , Pablo Cruise","Love Will Find A Way , Pablo Cruise","Love Will Find A Way , Pablo Cruise","Hopelessly Devoted To You , Olivia Newton-John","Kiss You All Over , Exile","An Everlasting Love , Andy Gibb","An Everlasting Love , Andy Gibb","Summer Nights , John Travolta & Olivia Newton-John & Cast","Don't Look Back , Boston","Don't Look Back , Boston","Hot Child In The City , Nick Gilder","Hopelessly Devoted To You , Olivia Newton-John","Love Is In The Air , John Paul Young","Love Is In The Air , John Paul Young","Love Is In The Air , John Paul Young","Double Vision , Foreigner","Double Vision , Foreigner","Kiss You All Over , Exile","Whenever I Call You ""Friend"" , Kenny Loggins","Kiss You All Over , Exile","Kiss You All Over , Exile","I Just Wanna Stop , Gino Vannelli","I Love The Nightlife (Disco 'round) , Alicia Bridges","I Love The Nightlife (Disco 'round) , Alicia Bridges","Time Passages , Al Stewart","Time Passages , Al Stewart","Sharing The Night Together , Dr. Hook","Sharing The Night Together , Dr. Hook","Sharing The Night Together , Dr. Hook"
7,"Sentimental Lady , Bob Welch","Sentimental Lady , Bob Welch","Sentimental Lady , Bob Welch","We Will Rock You/We Are The Champions , Queen","We Will Rock You/We Are The Champions , Queen","Come Sail Away , Styx","Sometimes When We Touch , Dan Hill","Emotion , Samantha Sang","Emotion , Samantha Sang","Short People , Randy Newman","Night Fever , Bee Gees","Night Fever , Bee Gees","Just The Way You Are , Billy Joel","I Go Crazy , Paul Davis","Sometimes When We Touch , Dan Hill","Sometimes When We Touch , Dan Hill","Sometimes When We Touch , Dan Hill","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","(Love Is) Thicker Than Water , Andy Gibb","Jack And Jill , Raydio","Jack And Jill , Raydio","Jack And Jill , Raydio","Jack And Jill , Raydio","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","Count On Me , Jefferson Starship","Count On Me , Jefferson Starship","Imaginary Lover , Atlanta Rhythm Section","Imaginary Lover , Atlanta Rhythm Section","On Broadway , George Benson","Take A Chance On Me , ABBA","Take A Chance On Me , ABBA","On Broadway , George Benson","Love Is Like Oxygen , Sweet","Love Is Like Oxygen , Sweet","Love Is Like Oxygen , Sweet","Dance With Me , Peter Brown With Betty Wright","Dance With Me , Peter Brown With Betty Wright","Dance With Me , Peter Brown With Betty Wright","Use Ta Be My Girl , The O'Jays","Use Ta Be My Girl , The O'Jays","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Copacabana (at The Copa) , Barry Manilow","Copacabana (at The Copa) , Barry Manilow","Copacabana (at The Copa) , Barry Manilow","Magnet And Steel , Walter Egan","An Everlasting Love , Andy Gibb","Summer Nights , John Travolta & Olivia Newton-John & Cast","Summer Nights , John Travolta & Olivia Newton-John & Cast","Don't Look Back , Boston","Hot Blooded , Foreigner","Hot Blooded , Foreigner","Reminiscing , Little River Band","Love Is In The Air , John Paul Young","Whenever I Call You ""Friend"" , Kenny Loggins","Whenever I Call You ""Friend"" , Kenny Loggins","MacArthur Park , Donna Summer","Love Is In The Air , John Paul Young","Love Is In The Air , John Paul Young","How Much I Feel , Ambrosia","Beast Of Burden , The Rolling Stones","I Just Wanna Stop , Gino Vannelli","I Just Wanna Stop , Gino Vannelli","I Love The Nightlife (Disco 'round) , Alicia Bridges","Time Passages , Al Stewart","Time Passages , Al Stewart","My Life , Billy Joel","Sharing The Night Together , Dr. Hook","Y.M.C.A. , Village People","Y.M.C.A. , Village People","Y.M.C.A. , Village People"
8,"You're In My Heart (The Final Acclaim) , Rod Stewart","You're In My Heart (The Final Acclaim) , Rod Stewart","Come Sail Away , Styx","Come Sail Away , Styx","Come Sail Away , Styx","Just The Way You Are , Billy Joel","You're In My Heart (The Final Acclaim) , Rod Stewart","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Baby Come Back , Player","Lay Down Sally , Eric Clapton","Lay Down Sally , Eric Clapton","I Go Crazy , Paul Davis","Just The Way You Are , Billy Joel","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) , Chic","If I Can't Have You , Yvonne Elliman","Thunder Island , Jay Ferguson","Thunder Island , Jay Ferguson","Thunder Island , Jay Ferguson","We'll Never Have To Say Goodbye Again , England Dan & John Ford Coley","We'll Never Have To Say Goodbye Again , England Dan & John Ford Coley","We'll Never Have To Say Goodbye Again , England Dan & John Ford Coley","You're The One That I Want , John Travolta & Olivia Newton-John","Dust In The Wind , Kansas","Dust In The Wind , Kansas","Dust In The Wind , Kansas","Imaginary Lover , Atlanta Rhythm Section","Count On Me , Jefferson Starship","Count On Me , Jefferson Starship","Take A Chance On Me , ABBA","With A Little Luck , Wings","With A Little Luck , Wings","You Belong To Me , Carly Simon","Still The Same , Bob Seger & The Silver Bullet Band","Dance With Me , Peter Brown With Betty Wright","Dance With Me , Peter Brown With Betty Wright","The Groove Line , Heatwave","It's A Heartache , Bonnie Tyler","It's A Heartache , Bonnie Tyler","Take A Chance On Me , ABBA","The Groove Line , Heatwave","Love Will Find A Way , Pablo Cruise","Love Will Find A Way , Pablo Cruise","Magnet And Steel , Walter Egan","Magnet And Steel , Walter Egan","Magnet And Steel , Walter Egan","An Everlasting Love , Andy Gibb","Magnet And Steel , Walter Egan","Shame , Evelyn ""Champagne"" King","Shame , Evelyn ""Champagne"" King","Got To Get You Into My Life , Earth, Wind & Fire","Hot Child In The City , Nick Gilder","Hot Child In The City , Nick Gilder","Love Is In The Air , John Paul Young","You Needed Me , Anne Murray","Summer Nights , John Travolta & Olivia Newton-John & Cast","Summer Nights , John Travolta & Olivia Newton-John & Cast","Don't Look Back , Boston","How Much I Feel , Ambrosia","How Much I Feel , Ambrosia","Beast Of Burden , The Rolling Stones","Get Off , Foxy","Whenever I Call You ""Friend"" , Kenny Loggins","Whenever I Call You ""Friend"" , Kenny Loggins","Time Passages , Al Stewart","My Life , Billy Joel","My Life , Billy Joel","Sharing The Night Together , Dr. Hook","(Our Love) Don't Throw It All Away , Andy Gibb","(Our Love) Don't Throw It All Away , Andy Gibb","(Our Love) Don't Throw It All Away , Andy Gibb","(Our Love) Don't Throw It All Away , Andy Gibb"
9,"Hey Deanie , Shaun Cassidy","Hey Deanie , Shaun Cassidy","We Will Rock You/We Are The Champions , Queen","Stayin' Alive , Bee Gees","Stayin' Alive , Bee Gees","(Love Is) Thicker Than Water , Andy Gibb","Emotion , Samantha Sang","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","How Deep Is Your Love , Bee Gees","Can't Smile Without You , Barry Manilow","Just The Way You Are , Billy Joel","Just The Way You Are , Billy Joel","Thunder Island , Jay Ferguson","Dust In The Wind , Kansas","Dust In The Wind , Kansas","Jack And Jill , Raydio","Our Love , Natalie Cole","Our Love , Natalie Cole","Our Love , Natalie Cole","Too Much, Too Little, Too Late , Johnny Mathis/Deniece Williams","Count On Me , Jefferson Starship","Count On Me , Jefferson Starship","Imaginary Lover , Atlanta Rhythm Section","Night Fever , Bee Gees","On Broadway , George Benson","On Broadway , George Benson","This Time I'm In It For Love , Player","This Time I'm In It For Love , Player","This Time I'm In It For Love , Player","Love Is Like Oxygen , Sweet","Dance With Me , Peter Brown With Betty Wright","The Groove Line , Heatwave","The Groove Line , Heatwave","You Belong To Me , Carly Simon","Last Dance , Donna Summer","Last Dance , Donna Summer","Three Times A Lady , Commodores","Love Will Find A Way , Pablo Cruise","Still The Same , Bob Seger & The Silver Bullet Band","Still The Same , Bob Seger & The Silver Bullet Band","An Everlasting Love , Andy Gibb","An Everlasting Love , Andy Gibb","An Everlasting Love , Andy Gibb","Last Dance , Donna Summer","Shame , Evelyn ""Champagne"" King","Got To Get You Into My Life , Earth, Wind & Fire","Got To Get You Into My Life , Earth, Wind & Fire","Shame , Evelyn ""Champagne"" King","Reminiscing , Little River Band","Reminiscing , Little River Band","An Everlasting Love , Andy Gibb","Whenever I Call You ""Friend"" , Kenny Loggins","Hopelessly Devoted To You , Olivia Newton-John","Hopelessly Devoted To You , Olivia Newton-John","Summer Nights , John Travolta & Olivia Newton-John & Cast","Boogie Oogie Oogie , A Taste Of Honey","Boogie Oogie Oogie , A Taste Of Honey","Get Off , Foxy","I Just Wanna Stop , Gino Vannelli","You Never Done It Like That , Captain & Tennille","You Never Done It Like That , Captain & Tennille","You Never Done It Like That , Captain & Tennille","Sharing The Night Together , Dr. Hook","Sharing The Night Together , Dr. Hook","(Our Love) Don't Throw It All Away , Andy Gibb","MacArthur Park , Donna Summer","Hold The Line , Toto","Hold The Line , Toto","Hold The Line , Toto"
