,1975-01-01,1975-01-06,1975-01-11,1975-01-16,1975-01-21,1975-01-26,1975-01-31,1975-02-05,1975-02-10,1975-02-15,1975-02-20,1975-02-25,1975-03-02,1975-03-07,1975-03-12,1975-03-17,1975-03-22,1975-03-27,1975-04-01,1975-04-06,1975-04-11,1975-04-16,1975-04-21,1975-04-26,1975-05-01,1975-05-06,1975-05-11,1975-05-16,1975-05-21,1975-05-26,1975-05-31,1975-06-05,1975-06-10,1975-06-15,1975-06-20,1975-06-25,1975-06-30,1975-07-05,1975-07-10,1975-07-15,1975-07-20,1975-07-25,1975-07-30,1975-08-04,1975-08-09,1975-08-14,1975-08-19,1975-08-24,1975-08-29,1975-09-03,1975-09-08,1975-09-13,1975-09-18,1975-09-23,1975-09-28,1975-10-03,1975-10-08,1975-10-13,1975-10-18,1975-10-23,1975-10-28,1975-11-02,1975-11-07,1975-11-12,1975-11-17,1975-11-22,1975-11-27,1975-12-02,1975-12-07,1975-12-12,1975-12-17,1975-12-22,1975-12-27
0,"Lucy In The Sky With Diamonds , Elton John","Lucy In The Sky With Diamonds , Elton John","Lucy In The Sky With Diamonds , Elton John","Mandy , Barry Manilow","Please Mr. Postman , Carpenters","Laughter In The Rain , Neil Sedaka","Laughter In The Rain , Neil Sedaka","Fire , Ohio Players","You're No Good , Linda Ronstadt","You're No Good , Linda Ronstadt","Pick Up The Pieces , AWB","Best Of My Love , Eagles","Have You Never Been Mellow , Olivia Newton-John","Have You Never Been Mellow , Olivia Newton-John","Black Water , The Doobie Brothers","My Eyes Adored You , Frankie Valli","My Eyes Adored You , Frankie Valli","Lady Marmalade , Labelle","Lovin' You , Minnie Riperton","Philadelphia Freedom , The Elton John Band","Philadelphia Freedom , The Elton John Band","Philadelphia Freedom , The Elton John Band","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","Shining Star , Earth, Wind & Fire","Before The Next Teardrop Falls , Freddy Fender","Before The Next Teardrop Falls , Freddy Fender","Thank God I'm A Country Boy , John Denver","Sister Golden Hair , America","Love Will Keep Us Together , Captain & Tennille","Love Will Keep Us Together , Captain & Tennille","Love Will Keep Us Together , Captain & Tennille","Love Will Keep Us Together , Captain & Tennille","Love Will Keep Us Together , Captain & Tennille","Love Will Keep Us Together , Captain & Tennille","Listen To What The Man Said , Wings","The Hustle , Van McCoy And The Soul City Symphony","The Hustle , Van McCoy And The Soul City Symphony","One Of These Nights , Eagles","Jive Talkin' , Bee Gees","Jive Talkin' , Bee Gees","Jive Talkin' , Bee Gees","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Get Down Tonight , KC And The Sunshine Band","Get Down Tonight , KC And The Sunshine Band","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Fame , David Bowie","I'm Sorry , John Denver","Fame , David Bowie","Fame , David Bowie","Bad Blood , Neil Sedaka","Bad Blood , Neil Sedaka","Bad Blood , Neil Sedaka","Bad Blood , Neil Sedaka","Island Girl , Elton John","Island Girl , Elton John","Island Girl , Elton John","Island Girl , Elton John","That's The Way (I Like It) , KC And The Sunshine Band","That's The Way (I Like It) , KC And The Sunshine Band","Fly, Robin, Fly , Silver Convention","Fly, Robin, Fly , Silver Convention","Fly, Robin, Fly , Silver Convention","Fly, Robin, Fly , Silver Convention","That's The Way (I Like It) , KC And The Sunshine Band","Let's Do It Again , The Staple Singers","Let's Do It Again , The Staple Singers"
1,"You're The First, The Last, My Everything , Barry White","You're The First, The Last, My Everything , Barry White","You're The First, The Last, My Everything , Barry White","Please Mr. Postman , Carpenters","Laughter In The Rain , Neil Sedaka","Fire , Ohio Players","Fire , Ohio Players","You're No Good , Linda Ronstadt","Pick Up The Pieces , AWB","Pick Up The Pieces , AWB","Best Of My Love , Eagles","Have You Never Been Mellow , Olivia Newton-John","Black Water , The Doobie Brothers","Black Water , The Doobie Brothers","My Eyes Adored You , Frankie Valli","Lady Marmalade , Labelle","Lady Marmalade , Labelle","Lovin' You , Minnie Riperton","Philadelphia Freedom , The Elton John Band","Lovin' You , Minnie Riperton","Lovin' You , Minnie Riperton","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Philadelphia Freedom , The Elton John Band","Philadelphia Freedom , The Elton John Band","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Before The Next Teardrop Falls , Freddy Fender","Before The Next Teardrop Falls , Freddy Fender","Before The Next Teardrop Falls , Freddy Fender","Before The Next Teardrop Falls , Freddy Fender","Thank God I'm A Country Boy , John Denver","Thank God I'm A Country Boy , John Denver","Sister Golden Hair , America","Love Will Keep Us Together , Captain & Tennille","When Will I Be Loved , Linda Ronstadt","When Will I Be Loved , Linda Ronstadt","When Will I Be Loved , Linda Ronstadt","The Hustle , Van McCoy And The Soul City Symphony","The Hustle , Van McCoy And The Soul City Symphony","The Hustle , Van McCoy And The Soul City Symphony","The Hustle , Van McCoy And The Soul City Symphony","I'm Not In Love , 10cc","I'm Not In Love , 10cc","I'm Not In Love , 10cc","I'm Not In Love , 10cc","I'm Not In Love , 10cc","One Of These Nights , Eagles","One Of These Nights , Eagles","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Rhinestone Cowboy , Glen Campbell","Fame , David Bowie","I'm Sorry , John Denver","I'm Sorry , John Denver","I'm Sorry , John Denver","I'm Sorry , John Denver","I'm Sorry , John Denver","I'm Sorry , John Denver","I'm Sorry , John Denver","Lyin' Eyes , Eagles","Lyin' Eyes , Eagles","Lyin' Eyes , Eagles","Fly, Robin, Fly , Silver Convention","Fly, Robin, Fly , Silver Convention","That's The Way (I Like It) , KC And The Sunshine Band","That's The Way (I Like It) , KC And The Sunshine Band","Let's Do It Again , The Staple Singers","Let's Do It Again , The Staple Singers","Let's Do It Again , The Staple Singers","Saturday Night , Bay City Rollers","Saturday Night , Bay City Rollers"
2,"Kung Fu Fighting , Carl Douglas","Junior's Farm/Sally G , Paul McCartney And Wings","Junior's Farm/Sally G , Paul McCartney And Wings","Laughter In The Rain , Neil Sedaka","Mandy , Barry Manilow","Boogie On Reggae Woman , Stevie Wonder","Boogie On Reggae Woman , Stevie Wonder","Boogie On Reggae Woman , Stevie Wonder","Best Of My Love , Eagles","Best Of My Love , Eagles","Some Kind Of Wonderful , Grand Funk","Black Water , The Doobie Brothers","My Eyes Adored You , Frankie Valli","My Eyes Adored You , Frankie Valli","Lady Marmalade , Labelle","Lovin' You , Minnie Riperton","Lovin' You , Minnie Riperton","Philadelphia Freedom , The Elton John Band","No No Song/snookeroo , Ringo Starr","No No Song/snookeroo , Ringo Starr","No No Song/snookeroo , Ringo Starr","Lovin' You , Minnie Riperton","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","Before The Next Teardrop Falls , Freddy Fender","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Jackie Blue , Ozark Mountain Daredevils","Jackie Blue , Ozark Mountain Daredevils","Jackie Blue , Ozark Mountain Daredevils","How Long , Ace","How Long , Ace","How Long , Ace","When Will I Be Loved , Linda Ronstadt","Wildfire , Michael Murphey","Wildfire , Michael Murphey","Wildfire , Michael Murphey","Listen To What The Man Said , Wings","Listen To What The Man Said , Wings","Listen To What The Man Said , Wings","I'm Not In Love , 10cc","One Of These Nights , Eagles","One Of These Nights , Eagles","Jive Talkin' , Bee Gees","Please Mr. Please , Olivia Newton-John","Please Mr. Please , Olivia Newton-John","Please Mr. Please , Olivia Newton-John","Get Down Tonight , KC And The Sunshine Band","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Get Down Tonight , KC And The Sunshine Band","At Seventeen , Janis Ian","At Seventeen , Janis Ian","At Seventeen , Janis Ian","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Fame , David Bowie","Miracles , Jefferson Starship","Miracles , Jefferson Starship","Miracles , Jefferson Starship","Miracles , Jefferson Starship","I'm Sorry , John Denver","I'm Sorry , John Denver","Who Loves You , The 4 Seasons","Who Loves You , The 4 Seasons","Who Loves You , The 4 Seasons","Island Girl , Elton John","Sky High , Jigsaw","Sky High , Jigsaw","Sky High , Jigsaw","Fly, Robin, Fly , Silver Convention","That's The Way (I Like It) , KC And The Sunshine Band","That's The Way (I Like It) , KC And The Sunshine Band"
3,"Junior's Farm/Sally G , Paul McCartney And Wings","Laughter In The Rain , Neil Sedaka","Laughter In The Rain , Neil Sedaka","You're The First, The Last, My Everything , Barry White","Fire , Ohio Players","You're No Good , Linda Ronstadt","You're No Good , Linda Ronstadt","Pick Up The Pieces , AWB","Some Kind Of Wonderful , Grand Funk","Some Kind Of Wonderful , Grand Funk","Black Water , The Doobie Brothers","My Eyes Adored You , Frankie Valli","Lady Marmalade , Labelle","Lady Marmalade , Labelle","Have You Never Been Mellow , Olivia Newton-John","Black Water , The Doobie Brothers","Black Water , The Doobie Brothers","Express , B.T. Express","Express , B.T. Express","Express , B.T. Express","Express , B.T. Express","No No Song/snookeroo , Ringo Starr","Lovin' You , Minnie Riperton","Lovin' You , Minnie Riperton","Philadelphia Freedom , The Elton John Band","Jackie Blue , Ozark Mountain Daredevils","Shining Star , Earth, Wind & Fire","Shining Star , Earth, Wind & Fire","Only Yesterday , Carpenters","Only Yesterday , Carpenters","Only Yesterday , Carpenters","Bad Time , Grand Funk","Bad Time , Grand Funk","I'm Not Lisa , Jessi Colter","I'm Not Lisa , Jessi Colter","I'm Not Lisa , Jessi Colter","Wildfire , Michael Murphey","Wildfire , Michael Murphey","Wildfire , Michael Murphey","One Of These Nights , Eagles","Please Mr. Please , Olivia Newton-John","Please Mr. Please , Olivia Newton-John","Please Mr. Please , Olivia Newton-John","One Of These Nights , Eagles","One Of These Nights , Eagles","Someone Saved My Life Tonight , Elton John","Jive Talkin' , Bee Gees","One Of These Nights , Eagles","One Of These Nights , Eagles","At Seventeen , Janis Ian","Get Down Tonight , KC And The Sunshine Band","Get Down Tonight , KC And The Sunshine Band","I'm Sorry , John Denver","Fight The Power Part 1 , The Isley Brothers","Run Joey Run , David Geddes","Run Joey Run , David Geddes","Mr. Jaws , Dickie Goodman","Lyin' Eyes , Eagles","Lyin' Eyes , Eagles","Lyin' Eyes , Eagles","Lyin' Eyes , Eagles","Who Loves You , The 4 Seasons","Who Loves You , The 4 Seasons","Miracles , Jefferson Starship","Island Girl , Elton John","Island Girl , Elton John","The Way I Want To Touch You , Captain & Tennille","Let's Do It Again , The Staple Singers","That's The Way (I Like It) , KC And The Sunshine Band","That's The Way (I Like It) , KC And The Sunshine Band","Saturday Night , Bay City Rollers","Love Rollercoaster , Ohio Players","Love Rollercoaster , Ohio Players"
4,"Laughter In The Rain , Neil Sedaka","Mandy , Barry Manilow","Mandy , Barry Manilow","Lucy In The Sky With Diamonds , Elton John","Boogie On Reggae Woman , Stevie Wonder","Pick Up The Pieces , AWB","Pick Up The Pieces , AWB","Best Of My Love , Eagles","Black Water , The Doobie Brothers","Black Water , The Doobie Brothers","Have You Never Been Mellow , Olivia Newton-John","Some Kind Of Wonderful , Grand Funk","Lonely People , America","Lonely People , America","Lovin' You , Minnie Riperton","Have You Never Been Mellow , Olivia Newton-John","Have You Never Been Mellow , Olivia Newton-John","You Are So Beautiful/It's A Sin When You Love Somebody , Joe Cocker","You Are So Beautiful/It's A Sin When You Love Somebody , Joe Cocker","Poetry Man , Phoebe Snow","Poetry Man , Phoebe Snow","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","Supernatural Thing - Part I , Ben E. King","Supernatural Thing - Part I , Ben E. King","Chevy Van , Sammy Johns","Shining Star , Earth, Wind & Fire","Only Yesterday , Carpenters","Only Yesterday , Carpenters","Thank God I'm A Country Boy , John Denver","Sister Golden Hair , America","Sister Golden Hair , America","Old Days , Chicago","Old Days , Chicago","Love Won't Let Me Wait , Major Harris","Love Won't Let Me Wait , Major Harris","Love Won't Let Me Wait , Major Harris","Love Won't Let Me Wait , Major Harris","Love Won't Let Me Wait , Major Harris","Magic , Pilot","Please Mr. Please , Olivia Newton-John","Listen To What The Man Said , Wings","Listen To What The Man Said , Wings","The Hustle , Van McCoy And The Soul City Symphony","Someone Saved My Life Tonight , Elton John","Someone Saved My Life Tonight , Elton John","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Rhinestone Cowboy , Glen Campbell","How Sweet It Is (To Be Loved By You) , James Taylor","How Sweet It Is (To Be Loved By You) , James Taylor","How Sweet It Is (To Be Loved By You) , James Taylor","Fame , David Bowie","Fame , David Bowie","Fight The Power Part 1 , The Isley Brothers","Run Joey Run , David Geddes","Mr. Jaws , Dickie Goodman","Mr. Jaws , Dickie Goodman","Miracles , Jefferson Starship","Ballroom Blitz , Sweet","Ballroom Blitz , Sweet","They Just Can't Stop It the (Games People Play) , The Spinners","They Just Can't Stop It the (Games People Play) , The Spinners","Miracles , Jefferson Starship","Miracles , Jefferson Starship","Heat Wave/love Is A Rose , Linda Ronstadt","The Way I Want To Touch You , Captain & Tennille","The Way I Want To Touch You , Captain & Tennille","Let's Do It Again , The Staple Singers","The Way I Want To Touch You , Captain & Tennille","Saturday Night , Bay City Rollers","Saturday Night , Bay City Rollers","Love Rollercoaster , Ohio Players","Theme From Mahogany (Do You Know Where You're Going To) , Diana Ross","Theme From Mahogany (Do You Know Where You're Going To) , Diana Ross"
5,"Angie Baby , Helen Reddy","Only You , Ringo Starr","Only You , Ringo Starr","Boogie On Reggae Woman , Stevie Wonder","You're No Good , Linda Ronstadt","Please Mr. Postman , Carpenters","Please Mr. Postman , Carpenters","Some Kind Of Wonderful , Grand Funk","Fire , Ohio Players","Fire , Ohio Players","Lonely People , America","Lonely People , America","Lady , Styx","Lady , Styx","Lady , Styx","Express , B.T. Express","Express , B.T. Express","No No Song/snookeroo , Ringo Starr","Poetry Man , Phoebe Snow","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Supernatural Thing - Part I , Ben E. King","Chevy Van , Sammy Johns","Chevy Van , Sammy Johns","Jackie Blue , Ozark Mountain Daredevils","Walking In Rhythm , The Blackbyrds","Walking In Rhythm , The Blackbyrds","Walking In Rhythm , The Blackbyrds","How Long , Ace","Bad Time , Grand Funk","Bad Time , Grand Funk","When Will I Be Loved , Linda Ronstadt","I'm Not Lisa , Jessi Colter","Sister Golden Hair , America","Sister Golden Hair , America","The Hustle , Van McCoy And The Soul City Symphony","Magic , Pilot","Magic , Pilot","Please Mr. Please , Olivia Newton-John","Magic , Pilot","Swearin' To God , Frankie Valli","Swearin' To God , Frankie Valli","Someone Saved My Life Tonight , Elton John","Midnight Blue , Melissa Manchester","Midnight Blue , Melissa Manchester","Rhinestone Cowboy , Glen Campbell","Why Can't We Be Friends? , War","Jive Talkin' , Bee Gees","Jive Talkin' , Bee Gees","Jive Talkin' , Bee Gees","Fight The Power Part 1 , The Isley Brothers","Fight The Power Part 1 , The Isley Brothers","Could It Be Magic , Barry Manilow","Could It Be Magic , Barry Manilow","Bad Blood , Neil Sedaka","Bad Blood , Neil Sedaka","Ballroom Blitz , Sweet","Dance With Me , Orleans","Dance With Me , Orleans","Feelings , Morris Albert","Who Loves You , The 4 Seasons","Heat Wave/love Is A Rose , Linda Ronstadt","Heat Wave/love Is A Rose , Linda Ronstadt","That's The Way (I Like It) , KC And The Sunshine Band","This Will Be , Natalie Cole","This Will Be , Natalie Cole","Sky High , Jigsaw","Island Girl , Elton John","Love Rollercoaster , Ohio Players","Love Rollercoaster , Ohio Players","Theme From Mahogany (Do You Know Where You're Going To) , Diana Ross","I Write The Songs , Barry Manilow","I Write The Songs , Barry Manilow"
6,"Only You , Ringo Starr","Boogie On Reggae Woman , Stevie Wonder","Boogie On Reggae Woman , Stevie Wonder","Junior's Farm/Sally G , Paul McCartney And Wings","One Man Woman/One Woman Man , Paul Anka with Odia Coates","Mandy , Barry Manilow","Mandy , Barry Manilow","Black Water , The Doobie Brothers","Lonely People , America","Lonely People , America","My Eyes Adored You , Frankie Valli","Pick Up The Pieces , AWB","Best Of My Love , Eagles","Best Of My Love , Eagles","Lonely People , America","You Are So Beautiful/It's A Sin When You Love Somebody , Joe Cocker","You Are So Beautiful/It's A Sin When You Love Somebody , Joe Cocker","Poetry Man , Phoebe Snow","Lady Marmalade , Labelle","Lady Marmalade , Labelle","Lady Marmalade , Labelle","Chevy Van , Sammy Johns","Before The Next Teardrop Falls , Freddy Fender","Before The Next Teardrop Falls , Freddy Fender","Shining Star , Earth, Wind & Fire","Philadelphia Freedom , The Elton John Band","Thank God I'm A Country Boy , John Denver","Thank God I'm A Country Boy , John Denver","He Don't Love You (Like I Love You) , Tony Orlando & Dawn","Old Days , Chicago","Old Days , Chicago","Before The Next Teardrop Falls , Freddy Fender","Love Won't Let Me Wait , Major Harris","The Hustle , Van McCoy And The Soul City Symphony","The Hustle , Van McCoy And The Soul City Symphony","Listen To What The Man Said , Wings","I'm Not Lisa , Jessi Colter","I'm Not Lisa , Jessi Colter","One Of These Nights , Eagles","Swearin' To God , Frankie Valli","Jive Talkin' , Bee Gees","Jive Talkin' , Bee Gees","Midnight Blue , Melissa Manchester","Rhinestone Cowboy , Glen Campbell","Rhinestone Cowboy , Glen Campbell","Why Can't We Be Friends? , War","How Sweet It Is (To Be Loved By You) , James Taylor","At Seventeen , Janis Ian","At Seventeen , Janis Ian","Fame , David Bowie","Could It Be Magic , Barry Manilow","Could It Be Magic , Barry Manilow","Run Joey Run , David Geddes","At Seventeen , Janis Ian","Ballroom Blitz , Sweet","Ballroom Blitz , Sweet","Dance With Me , Orleans","Feelings , Morris Albert","Feelings , Morris Albert","Who Loves You , The 4 Seasons","Feelings , Morris Albert","They Just Can't Stop It the (Games People Play) , The Spinners","They Just Can't Stop It the (Games People Play) , The Spinners","This Will Be , Natalie Cole","Feelings , Morris Albert","Feelings , Morris Albert","Low Rider , War","Low Rider , War","Nights On Broadway , Bee Gees","Nights On Broadway , Bee Gees","Sky High , Jigsaw","Convoy , C.W. McCall","Convoy , C.W. McCall"
7,"Boogie On Reggae Woman , Stevie Wonder","Please Mr. Postman , Carpenters","Please Mr. Postman , Carpenters","One Man Woman/One Woman Man , Paul Anka with Odia Coates","Morning Side Of The Mountain , Donny & Marie Osmond","Morning Side Of The Mountain , Donny & Marie Osmond","Morning Side Of The Mountain , Donny & Marie Osmond","Laughter In The Rain , Neil Sedaka","Boogie On Reggae Woman , Stevie Wonder","Boogie On Reggae Woman , Stevie Wonder","You're No Good , Linda Ronstadt","Lady Marmalade , Labelle","Lovin' You , Minnie Riperton","Lovin' You , Minnie Riperton","Express , B.T. Express","Poetry Man , Phoebe Snow","Poetry Man , Phoebe Snow","My Eyes Adored You , Frankie Valli","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Chevy Van , Sammy Johns","Chevy Van , Sammy Johns","What Am I Gonna Do With You , Barry White","Emma , Hot Chocolate","Emma , Hot Chocolate","Walking In Rhythm , The Blackbyrds","Only Yesterday , Carpenters","How Long , Ace","How Long , Ace","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","Shining Star , Earth, Wind & Fire","Shining Star , Earth, Wind & Fire","I'm Not Lisa , Jessi Colter","Thank God I'm A Country Boy , John Denver","Get Down, Get Down (Get On The Floor) , Joe Simon","Get Down, Get Down (Get On The Floor) , Joe Simon","Get Down, Get Down (Get On The Floor) , Joe Simon","When Will I Be Loved , Linda Ronstadt","When Will I Be Loved , Linda Ronstadt","Swearin' To God , Frankie Valli","Love Will Keep Us Together , Captain & Tennille","Someone Saved My Life Tonight , Elton John","Someone Saved My Life Tonight , Elton John","Listen To What The Man Said , Wings","Why Can't We Be Friends? , War","Why Can't We Be Friends? , War","How Sweet It Is (To Be Loved By You) , James Taylor","Someone Saved My Life Tonight , Elton John","Someone Saved My Life Tonight , Elton John","Someone Saved My Life Tonight , Elton John","Fight The Power Part 1 , The Isley Brothers","I'm Sorry , John Denver","I'm Sorry , John Denver","Fallin' In Love , Hamilton, Joe Frank & Reynolds","Wasted Days And Wasted Nights , Freddy Fender","Dance With Me , Orleans","Dance With Me , Orleans","Ain't No Way To Treat A Lady , Helen Reddy","Ain't No Way To Treat A Lady , Helen Reddy","Ain't No Way To Treat A Lady , Helen Reddy","Island Girl , Elton John","Bad Blood , Neil Sedaka","This Will Be , Natalie Cole","This Will Be , Natalie Cole","Feelings , Morris Albert","Low Rider , War","Low Rider , War","This Will Be , Natalie Cole","Nights On Broadway , Bee Gees","Theme From Mahogany (Do You Know Where You're Going To) , Diana Ross","Theme From Mahogany (Do You Know Where You're Going To) , Diana Ross","I Write The Songs , Barry Manilow","Fox On The Run , Sweet","Fox On The Run , Sweet"
8,"Please Mr. Postman , Carpenters","Kung Fu Fighting , Carl Douglas","Kung Fu Fighting , Carl Douglas","Morning Side Of The Mountain , Donny & Marie Osmond","Never Can Say Goodbye , Gloria Gaynor","Best Of My Love , Eagles","Best Of My Love , Eagles","Lonely People , America","My Eyes Adored You , Frankie Valli","My Eyes Adored You , Frankie Valli","#9 Dream , John Lennon","Nightingale , Carole King","Pick Up The Pieces , AWB","Pick Up The Pieces , AWB","Can't Get It Out Of My Head , Electric Light Orchestra","No No Song/snookeroo , Ringo Starr","No No Song/snookeroo , Ringo Starr","Don't Call Us, We'll Call You , Sugarloaf/Jerry Corbetta","Have You Never Been Mellow , Olivia Newton-John","What Am I Gonna Do With You , Barry White","What Am I Gonna Do With You , Barry White","Emma , Hot Chocolate","What Am I Gonna Do With You , Barry White","What Am I Gonna Do With You , Barry White","Long Tall Glasses (I Can Dance) , Leo Sayer","Long Tall Glasses (I Can Dance) , Leo Sayer","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","Bad Time , Grand Funk","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","Love Won't Let Me Wait , Major Harris","Philadelphia Freedom , The Elton John Band","Listen To What The Man Said , Wings","Listen To What The Man Said , Wings","Magic , Pilot","One Of These Nights , Eagles","One Of These Nights , Eagles","When Will I Be Loved , Linda Ronstadt","Jive Talkin' , Bee Gees","Midnight Blue , Melissa Manchester","Midnight Blue , Melissa Manchester","Rockin' Chair , Gwen McCrae","How Sweet It Is (To Be Loved By You) , James Taylor","How Sweet It Is (To Be Loved By You) , James Taylor","Midnight Blue , Melissa Manchester","At Seventeen , Janis Ian","Why Can't We Be Friends? , War","Why Can't We Be Friends? , War","Could It Be Magic , Barry Manilow","Run Joey Run , David Geddes","Run Joey Run , David Geddes","Wasted Days And Wasted Nights , Freddy Fender","Ballroom Blitz , Sweet","Ain't No Way To Treat A Lady , Helen Reddy","Ain't No Way To Treat A Lady , Helen Reddy","Rocky , Austin Roberts","They Just Can't Stop It the (Games People Play) , The Spinners","They Just Can't Stop It the (Games People Play) , The Spinners","Ballroom Blitz , Sweet","Heat Wave/love Is A Rose , Linda Ronstadt","Feelings , Morris Albert","Feelings , Morris Albert","The Way I Want To Touch You , Captain & Tennille","Sky High , Jigsaw","Sky High , Jigsaw","Nights On Broadway , Bee Gees","Saturday Night , Bay City Rollers","My Little Town , Simon & Garfunkel","My Little Town , Simon & Garfunkel","Fox On The Run , Sweet","Fly, Robin, Fly , Silver Convention","Fly, Robin, Fly , Silver Convention"
9,"Mandy , Barry Manilow","One Man Woman/One Woman Man , Paul Anka with Odia Coates","One Man Woman/One Woman Man , Paul Anka with Odia Coates","Never Can Say Goodbye , Gloria Gaynor","Pick Up The Pieces , AWB","Some Kind Of Wonderful , Grand Funk","Some Kind Of Wonderful , Grand Funk","Get Dancin' , Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III","#9 Dream , John Lennon","#9 Dream , John Lennon","Nightingale , Carole King","Lady , Styx","Can't Get It Out Of My Head , Electric Light Orchestra","Can't Get It Out Of My Head , Electric Light Orchestra","Don't Call Us, We'll Call You , Sugarloaf/Jerry Corbetta","Don't Call Us, We'll Call You , Sugarloaf/Jerry Corbetta","Don't Call Us, We'll Call You , Sugarloaf/Jerry Corbetta","Have You Never Been Mellow , Olivia Newton-John","My Eyes Adored You , Frankie Valli","Once You Get Started , Rufus Featuring Chaka Khan","Once You Get Started , Rufus Featuring Chaka Khan","Before The Next Teardrop Falls , Freddy Fender","Walking In Rhythm , The Blackbyrds","Walking In Rhythm , The Blackbyrds","Only Yesterday , Carpenters","I Don't Like To Sleep Alone , Paul Anka with Odia Coates","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song , B.J. Thomas","Old Days , Chicago","When Will I Be Loved , Linda Ronstadt","When Will I Be Loved , Linda Ronstadt","Philadelphia Freedom , The Elton John Band","Get Down, Get Down (Get On The Floor) , Joe Simon","Cut The Cake , AWB","Cut The Cake , AWB","Cut The Cake , AWB","Please Mr. Please , Olivia Newton-John","Please Mr. Please , Olivia Newton-John","I'm Not In Love , 10cc","Rockin' Chair , Gwen McCrae","Rockin' Chair , Gwen McCrae","Rockin' Chair , Gwen McCrae","Dynomite-Part I , Tony Camillo's Bazuka","The Rockford Files , Mike Post","The Rockford Files , Mike Post","The Rockford Files , Mike Post","Please Mr. Please , Olivia Newton-John","Fight The Power Part 1 , The Isley Brothers","Fight The Power Part 1 , The Isley Brothers","One Of These Nights , Eagles","Wasted Days And Wasted Nights , Freddy Fender","Wasted Days And Wasted Nights , Freddy Fender","Feel Like Makin' Love , Bad Company","Feel Like Makin' Love , Bad Company","Rocky , Austin Roberts","Rocky , Austin Roberts","Lyin' Eyes , Eagles","Who Loves You , The 4 Seasons","Who Loves You , The 4 Seasons","It Only Takes A Minute , Tavares","This Will Be , Natalie Cole","The Way I Want To Touch You , Captain & Tennille","The Way I Want To Touch You , Captain & Tennille","Low Rider , War","Let's Do It Again , The Staple Singers","Let's Do It Again , The Staple Singers","Who Loves You , The 4 Seasons","My Little Town , Simon & Garfunkel","Fox On The Run , Sweet","Fox On The Run , Sweet","Nights On Broadway , Bee Gees","I Love Music (Part 1) , The O'Jays","I Love Music (Part 1) , The O'Jays"
