,1981-01-01,1981-01-06,1981-01-11,1981-01-16,1981-01-21,1981-01-26,1981-01-31,1981-02-05,1981-02-10,1981-02-15,1981-02-20,1981-02-25,1981-03-02,1981-03-07,1981-03-12,1981-03-17,1981-03-22,1981-03-27,1981-04-01,1981-04-06,1981-04-11,1981-04-16,1981-04-21,1981-04-26,1981-05-01,1981-05-06,1981-05-11,1981-05-16,1981-05-21,1981-05-26,1981-05-31,1981-06-05,1981-06-10,1981-06-15,1981-06-20,1981-06-25,1981-06-30,1981-07-05,1981-07-10,1981-07-15,1981-07-20,1981-07-25,1981-07-30,1981-08-04,1981-08-09,1981-08-14,1981-08-19,1981-08-24,1981-08-29,1981-09-03,1981-09-08,1981-09-13,1981-09-18,1981-09-23,1981-09-28,1981-10-03,1981-10-08,1981-10-13,1981-10-18,1981-10-23,1981-10-28,1981-11-02,1981-11-07,1981-11-12,1981-11-17,1981-11-22,1981-11-27,1981-12-02,1981-12-07,1981-12-12,1981-12-17,1981-12-22,1981-12-27
0,"(Just Like) Starting Over , John Lennon","(Just Like) Starting Over , John Lennon","(Just Like) Starting Over , John Lennon","(Just Like) Starting Over , John Lennon","(Just Like) Starting Over , John Lennon","The Tide Is High , Blondie","The Tide Is High , Blondie","Celebration , Kool & The Gang","Celebration , Kool & The Gang","9 To 5 , Dolly Parton","9 To 5 , Dolly Parton","I Love A Rainy Night , Eddie Rabbitt","I Love A Rainy Night , Eddie Rabbitt","I Love A Rainy Night , Eddie Rabbitt","9 To 5 , Dolly Parton","Keep On Loving You , REO Speedwagon","Rapture , Blondie","Rapture , Blondie","Rapture , Blondie","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","Morning Train (Nine To Five) , Sheena Easton","Morning Train (Nine To Five) , Sheena Easton","Morning Train (Nine To Five) , Sheena Easton","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Medley , Stars On 45","Medley , Stars On 45","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","The One That You Love , Air Supply","The One That You Love , Air Supply","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Private Eyes , Daryl Hall John Oates","Private Eyes , Daryl Hall John Oates","Private Eyes , Daryl Hall John Oates","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John","Physical , Olivia Newton-John"
1,"More Than I Can Say , Leo Sayer","Love On The Rocks , Neil Diamond","Love On The Rocks , Neil Diamond","Love On The Rocks , Neil Diamond","Love On The Rocks , Neil Diamond","(Just Like) Starting Over , John Lennon","(Just Like) Starting Over , John Lennon","The Tide Is High , Blondie","9 To 5 , Dolly Parton","I Love A Rainy Night , Eddie Rabbitt","I Love A Rainy Night , Eddie Rabbitt","9 To 5 , Dolly Parton","9 To 5 , Dolly Parton","9 To 5 , Dolly Parton","Keep On Loving You , REO Speedwagon","Woman , John Lennon","Woman , John Lennon","Woman , John Lennon","Woman , John Lennon","Rapture , Blondie","Rapture , Blondie","Rapture , Blondie","Morning Train (Nine To Five) , Sheena Easton","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Medley , Stars On 45","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Medley , Stars On 45","All Those Years Ago , George Harrison","All Those Years Ago , George Harrison","All Those Years Ago , George Harrison","All Those Years Ago , George Harrison","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","The One That You Love , Air Supply","Endless Love , Diana Ross & Lionel Richie","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Endless Love , Diana Ross & Lionel Richie","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Private Eyes , Daryl Hall John Oates","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner"
2,"Love On The Rocks , Neil Diamond","Guilty , Barbra Streisand & Barry Gibb","Guilty , Barbra Streisand & Barry Gibb","Guilty , Barbra Streisand & Barry Gibb","The Tide Is High , Blondie","Celebration , Kool & The Gang","Celebration , Kool & The Gang","I Love A Rainy Night , Eddie Rabbitt","I Love A Rainy Night , Eddie Rabbitt","Celebration , Kool & The Gang","Celebration , Kool & The Gang","Woman , John Lennon","Woman , John Lennon","Woman , John Lennon","Woman , John Lennon","The Best Of Times , Styx","The Best Of Times , Styx","The Best Of Times , Styx","The Best Of Times , Styx","The Best Of Times , Styx","The Best Of Times , Styx","Morning Train (Nine To Five) , Sheena Easton","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Being With You , Smokey Robinson","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Medley , Stars On 45","Medley , Stars On 45","Medley , Stars On 45","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","The One That You Love , Air Supply","The One That You Love , Air Supply","The One That You Love , Air Supply","The One That You Love , Air Supply","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","I Don't Need You , Kenny Rogers","I Don't Need You , Kenny Rogers","I Don't Need You , Kenny Rogers","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Private Eyes , Daryl Hall John Oates","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Physical , Olivia Newton-John","Waiting For A Girl Like You , Foreigner","Private Eyes , Daryl Hall John Oates","Private Eyes , Daryl Hall John Oates","Every Little Thing She Does Is Magic , The Police","Every Little Thing She Does Is Magic , The Police","Every Little Thing She Does Is Magic , The Police","Let's Groove , Earth, Wind & Fire","Let's Groove , Earth, Wind & Fire","Let's Groove , Earth, Wind & Fire"
3,"Lady , Kenny Rogers","The Tide Is High , Blondie","The Tide Is High , Blondie","The Tide Is High , Blondie","Guilty , Barbra Streisand & Barry Gibb","I Love A Rainy Night , Eddie Rabbitt","I Love A Rainy Night , Eddie Rabbitt","9 To 5 , Dolly Parton","The Tide Is High , Blondie","Woman , John Lennon","Woman , John Lennon","Celebration , Kool & The Gang","Keep On Loving You , REO Speedwagon","Keep On Loving You , REO Speedwagon","The Best Of Times , Styx","9 To 5 , Dolly Parton","Keep On Loving You , REO Speedwagon","Keep On Loving You , REO Speedwagon","Kiss On My List , Daryl Hall John Oates","Woman , John Lennon","Woman , John Lennon","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Angel Of The Morning , Juice Newton","Angel Of The Morning , Juice Newton","Angel Of The Morning , Juice Newton","Angel Of The Morning , Juice Newton","Angel Of The Morning , Juice Newton","Angel Of The Morning , Juice Newton","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","Being With You , Smokey Robinson","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","I Don't Need You , Kenny Rogers","I Don't Need You , Kenny Rogers","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Slow Hand , The Pointer Sisters","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Urgent , Foreigner","Urgent , Foreigner","Urgent , Foreigner","Urgent , Foreigner","Urgent , Foreigner","Who's Crying Now , Journey","Who's Crying Now , Journey","Who's Crying Now , Journey","For Your Eyes Only , Sheena Easton","For Your Eyes Only , Sheena Easton","For Your Eyes Only , Sheena Easton","For Your Eyes Only , Sheena Easton","For Your Eyes Only , Sheena Easton","For Your Eyes Only , Sheena Easton","Waiting For A Girl Like You , Foreigner","Start Me Up , The Rolling Stones","Every Little Thing She Does Is Magic , The Police","Every Little Thing She Does Is Magic , The Police","Oh No , Commodores","Oh No , Commodores","Oh No , Commodores","Oh No , Commodores","I Can't Go For That (No Can Do) , Daryl Hall John Oates","I Can't Go For That (No Can Do) , Daryl Hall John Oates"
4,"Hungry Heart , Bruce Springsteen","Hungry Heart , Bruce Springsteen","Hungry Heart , Bruce Springsteen","Hungry Heart , Bruce Springsteen","Hungry Heart , Bruce Springsteen","Every Woman In The World , Air Supply","Every Woman In The World , Air Supply","Passion , Rod Stewart","Passion , Rod Stewart","The Tide Is High , Blondie","The Tide Is High , Blondie","Keep On Loving You , REO Speedwagon","The Best Of Times , Styx","The Best Of Times , Styx","I Love A Rainy Night , Eddie Rabbitt","Crying , Don McLean","Crying , Don McLean","Crying , Don McLean","Crying , Don McLean","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Woman , John Lennon","Angel Of The Morning , Juice Newton","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","Bette Davis Eyes , Kim Carnes","Morning Train (Nine To Five) , Sheena Easton","Morning Train (Nine To Five) , Sheena Easton","Medley , Stars On 45","Take It On The Run , REO Speedwagon","Take It On The Run , REO Speedwagon","Take It On The Run , REO Speedwagon","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","All Those Years Ago , George Harrison","All Those Years Ago , George Harrison","All Those Years Ago , George Harrison","You Make My Dreams , Daryl Hall John Oates","You Make My Dreams , Daryl Hall John Oates","You Make My Dreams , Daryl Hall John Oates","You Make My Dreams , Daryl Hall John Oates","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","For Your Eyes Only , Sheena Easton","Step By Step , Eddie Rabbitt","Step By Step , Eddie Rabbitt","Step By Step , Eddie Rabbitt","Endless Love , Diana Ross & Lionel Richie","Tryin' To Live My Life Without You , Bob Seger","Tryin' To Live My Life Without You , Bob Seger","Tryin' To Live My Life Without You , Bob Seger","Here I Am (Just When I Thought I Was Over You) , Air Supply","Here I Am (Just When I Thought I Was Over You) , Air Supply","Here I Am (Just When I Thought I Was Over You) , Air Supply","Here I Am (Just When I Thought I Was Over You) , Air Supply","Let's Groove , Earth, Wind & Fire","Let's Groove , Earth, Wind & Fire","Young Turks , Rod Stewart","Young Turks , Rod Stewart","Young Turks , Rod Stewart"
5,"Every Woman In The World , Air Supply","Every Woman In The World , Air Supply","Every Woman In The World , Air Supply","Every Woman In The World , Air Supply","Every Woman In The World , Air Supply","Passion , Rod Stewart","Passion , Rod Stewart","(Just Like) Starting Over , John Lennon","Woman , John Lennon","Keep On Loving You , REO Speedwagon","Keep On Loving You , REO Speedwagon","The Best Of Times , Styx","Celebration , Kool & The Gang","Celebration , Kool & The Gang","Crying , Don McLean","Rapture , Blondie","Hello Again , Neil Diamond","Hello Again , Neil Diamond","Hello Again , Neil Diamond","Morning Train (Nine To Five) , Sheena Easton","Morning Train (Nine To Five) , Sheena Easton","Angel Of The Morning , Juice Newton","Rapture , Blondie","Rapture , Blondie","Rapture , Blondie","Kiss On My List , Daryl Hall John Oates","Take It On The Run , REO Speedwagon","Take It On The Run , REO Speedwagon","Take It On The Run , REO Speedwagon","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Being With You , Smokey Robinson","Being With You , Smokey Robinson","The One That You Love , Air Supply","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","Elvira , The Oak Ridge Boys","I Don't Need You , Kenny Rogers","I Don't Need You , Kenny Rogers","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Who's Crying Now , Journey","Who's Crying Now , Journey","Who's Crying Now , Journey","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Step By Step , Eddie Rabbitt","Private Eyes , Daryl Hall John Oates","Private Eyes , Daryl Hall John Oates","Private Eyes , Daryl Hall John Oates","Tryin' To Live My Life Without You , Bob Seger","The Night Owls , Little River Band","The Night Owls , Little River Band","The Night Owls , Little River Band","Tryin' To Live My Life Without You , Bob Seger","Oh No , Commodores","Oh No , Commodores","Private Eyes , Daryl Hall John Oates","Young Turks , Rod Stewart","Young Turks , Rod Stewart","I Can't Go For That (No Can Do) , Daryl Hall John Oates","Harden My Heart , Quarterflash","Harden My Heart , Quarterflash"
6,"Guilty , Barbra Streisand & Barry Gibb","Passion , Rod Stewart","Passion , Rod Stewart","Passion , Rod Stewart","Passion , Rod Stewart","Love On The Rocks , Neil Diamond","Love On The Rocks , Neil Diamond","Every Woman In The World , Air Supply","(Just Like) Starting Over , John Lennon","The Best Of Times , Styx","The Best Of Times , Styx","The Tide Is High , Blondie","Crying , Don McLean","Crying , Don McLean","Rapture , Blondie","Hello Again , Neil Diamond","9 To 5 , Dolly Parton","9 To 5 , Dolly Parton","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Crying , Don McLean","Crying , Don McLean","While You See A Chance , Steve Winwood","While You See A Chance , Steve Winwood","Bette Davis Eyes , Kim Carnes","Bette Davis Eyes , Kim Carnes","Take It On The Run , REO Speedwagon","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","All Those Years Ago , George Harrison","The One That You Love , Air Supply","The One That You Love , Air Supply","You Make My Dreams , Daryl Hall John Oates","Medley , Stars On 45","Medley , Stars On 45","Medley , Stars On 45","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Bette Davis Eyes , Kim Carnes","Boy From New York City , The Manhattan Transfer","Boy From New York City , The Manhattan Transfer","Boy From New York City , The Manhattan Transfer","Boy From New York City , The Manhattan Transfer","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","Who's Crying Now , Journey","Who's Crying Now , Journey","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Step By Step , Eddie Rabbitt","Step By Step , Eddie Rabbitt","Start Me Up , The Rolling Stones","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Stop Draggin' My Heart Around , Stevie Nicks With Tom Petty And The Heartbreakers","Hard To Say , Dan Fogelberg","Hard To Say , Dan Fogelberg","Hard To Say , Dan Fogelberg","Here I Am (Just When I Thought I Was Over You) , Air Supply","The Night Owls , Little River Band","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Let's Groove , Earth, Wind & Fire","Here I Am (Just When I Thought I Was Over You) , Air Supply","Here I Am (Just When I Thought I Was Over You) , Air Supply","Why Do Fools Fall In Love , Diana Ross","Why Do Fools Fall In Love , Diana Ross","Why Do Fools Fall In Love , Diana Ross"
7,"The Tide Is High , Blondie","Tell It Like It Is , Heart","Tell It Like It Is , Heart","Tell It Like It Is , Heart","I Love A Rainy Night , Eddie Rabbitt","9 To 5 , Dolly Parton","9 To 5 , Dolly Parton","Woman , John Lennon","Keep On Loving You , REO Speedwagon","Giving It Up For Your Love , Delbert McClinton","Giving It Up For Your Love , Delbert McClinton","Giving It Up For Your Love , Delbert McClinton","Giving It Up For Your Love , Delbert McClinton","Giving It Up For Your Love , Delbert McClinton","The Winner Takes It All , ABBA","The Winner Takes It All , ABBA","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Keep On Loving You , REO Speedwagon","While You See A Chance , Steve Winwood","While You See A Chance , Steve Winwood","Being With You , Smokey Robinson","Woman , John Lennon","While You See A Chance , Steve Winwood","While You See A Chance , Steve Winwood","Living Inside Myself , Gino Vannelli","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","Sukiyaki , A Taste Of Honey","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","Just The Two Of Us , Grover Washington, Jr. (With Bill Withers)","America , Neil Diamond","America , Neil Diamond","America , Neil Diamond","America , Neil Diamond","A Woman Needs Love (Just Like You Do) , Ray Parker Jr. & Raydio","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","I Don't Need You , Kenny Rogers","You Make My Dreams , Daryl Hall John Oates","You Make My Dreams , Daryl Hall John Oates","Boy From New York City , The Manhattan Transfer","Hearts , Marty Balin","Hearts , Marty Balin","Hearts , Marty Balin","Queen Of Hearts , Juice Newton","Urgent , Foreigner","Urgent , Foreigner","Lady (You Bring Me Up) , Commodores","Lady (You Bring Me Up) , Commodores","Lady (You Bring Me Up) , Commodores","Lady (You Bring Me Up) , Commodores","Step By Step , Eddie Rabbitt","Urgent , Foreigner","Urgent , Foreigner","Private Eyes , Daryl Hall John Oates","Who's Crying Now , Journey","Hard To Say , Dan Fogelberg","Hard To Say , Dan Fogelberg","The Night Owls , Little River Band","I've Done Everything For You , Rick Springfield","I've Done Everything For You , Rick Springfield","I've Done Everything For You , Rick Springfield","Every Little Thing She Does Is Magic , The Police","Tryin' To Live My Life Without You , Bob Seger","Tryin' To Live My Life Without You , Bob Seger","Young Turks , Rod Stewart","Why Do Fools Fall In Love , Diana Ross","Why Do Fools Fall In Love , Diana Ross","Harden My Heart , Quarterflash","Leather And Lace , Stevie Nicks With Don Henley","Leather And Lace , Stevie Nicks With Don Henley"
8,"Hit Me With Your Best Shot , Pat Benatar","Lady , Kenny Rogers","Lady , Kenny Rogers","Lady , Kenny Rogers","It's My Turn , Diana Ross","It's My Turn , Diana Ross","It's My Turn , Diana Ross","It's My Turn , Diana Ross","Giving It Up For Your Love , Delbert McClinton","Same Old Lang Syne , Dan Fogelberg","Same Old Lang Syne , Dan Fogelberg","Same Old Lang Syne , Dan Fogelberg","The Winner Takes It All , ABBA","The Winner Takes It All , ABBA","Hello Again , Neil Diamond","I Love A Rainy Night , Eddie Rabbitt","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","While You See A Chance , Steve Winwood","Keep On Loving You , REO Speedwagon","Keep On Loving You , REO Speedwagon","The Best Of Times , Styx","The Best Of Times , Styx","Living Inside Myself , Gino Vannelli","Living Inside Myself , Gino Vannelli","Sukiyaki , A Taste Of Honey","Kiss On My List , Daryl Hall John Oates","Kiss On My List , Daryl Hall John Oates","Too Much Time On My Hands , Styx","Too Much Time On My Hands , Styx","America , Neil Diamond","America , Neil Diamond","Take It On The Run , REO Speedwagon","You Make My Dreams , Daryl Hall John Oates","You Make My Dreams , Daryl Hall John Oates","Jessie's Girl , Rick Springfield","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","I Don't Need You , Kenny Rogers","I Don't Need You , Kenny Rogers","Slow Hand , The Pointer Sisters","Boy From New York City , The Manhattan Transfer","Boy From New York City , The Manhattan Transfer","Hearts , Marty Balin","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","Queen Of Hearts , Juice Newton","(There's) No Gettin' Over Me , Ronnie Milsap","Lady (You Bring Me Up) , Commodores","Lady (You Bring Me Up) , Commodores","Jessie's Girl , Rick Springfield","Arthur's Theme (Best That You Can Do) , Christopher Cross","Step By Step , Eddie Rabbitt","Step By Step , Eddie Rabbitt","Lady (You Bring Me Up) , Commodores","Start Me Up , The Rolling Stones","Start Me Up , The Rolling Stones","Urgent , Foreigner","Hard To Say , Dan Fogelberg","The Night Owls , Little River Band","The Night Owls , Little River Band","I've Done Everything For You , Rick Springfield","Here I Am (Just When I Thought I Was Over You) , Air Supply","Here I Am (Just When I Thought I Was Over You) , Air Supply","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Arthur's Theme (Best That You Can Do) , Christopher Cross","Why Do Fools Fall In Love , Diana Ross","Harden My Heart , Quarterflash","Harden My Heart , Quarterflash","Don't Stop Believin' , Journey","Don't Stop Believin' , Journey","Don't Stop Believin' , Journey"
9,"Tell It Like It Is , Heart","More Than I Can Say , Leo Sayer","De Do Do Do, De Da Da Da , The Police","De Do Do Do, De Da Da Da , The Police","De Do Do Do, De Da Da Da , The Police","I Made It Through The Rain , Barry Manilow","I Made It Through The Rain , Barry Manilow","Giving It Up For Your Love , Delbert McClinton","Hey Nineteen , Steely Dan","Hey Nineteen , Steely Dan","Hey Nineteen , Steely Dan","The Winner Takes It All , ABBA","Hello Again , Neil Diamond","Hello Again , Neil Diamond","Celebration , Kool & The Gang","What Kind Of Fool , Barbra Streisand & Barry Gibb","What Kind Of Fool , Barbra Streisand & Barry Gibb","What Kind Of Fool , Barbra Streisand & Barry Gibb","What Kind Of Fool , Barbra Streisand & Barry Gibb","Don't Stand So Close To Me , The Police","Don't Stand So Close To Me , The Police","Don't Stand So Close To Me , The Police","Don't Stand So Close To Me , The Police","I Can't Stand It , Eric Clapton And His Band","I Can't Stand It , Eric Clapton And His Band","I Can't Stand It , Eric Clapton And His Band","Too Much Time On My Hands , Styx","Too Much Time On My Hands , Styx","Watching The Wheels , John Lennon","Watching The Wheels , John Lennon","Sweetheart , Franke & The Knockouts","Sweetheart , Franke & The Knockouts","Sweetheart , Franke & The Knockouts","Jessie's Girl , Rick Springfield","Jessie's Girl , Rick Springfield","Elvira , The Oak Ridge Boys","I Don't Need You , Kenny Rogers","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Boy From New York City , The Manhattan Transfer","Hearts , Marty Balin","Hearts , Marty Balin","Queen Of Hearts , Juice Newton","The One That You Love , Air Supply","(There's) No Gettin' Over Me , Ronnie Milsap","(There's) No Gettin' Over Me , Ronnie Milsap","Lady (You Bring Me Up) , Commodores","Who's Crying Now , Journey","Who's Crying Now , Journey","Theme From ""Greatest American Hero"" (Believe It or Not) , Joey Scarbury","Step By Step , Eddie Rabbitt","Slow Hand , The Pointer Sisters","Slow Hand , The Pointer Sisters","Start Me Up , The Rolling Stones","Hold On Tight , Electric Light Orchestra","Hold On Tight , Electric Light Orchestra","Hold On Tight , Electric Light Orchestra","The Night Owls , Little River Band","I've Done Everything For You , Rick Springfield","I've Done Everything For You , Rick Springfield","Step By Step , Eddie Rabbitt","Waiting For A Girl Like You , Foreigner","Waiting For A Girl Like You , Foreigner","The Theme From Hill Street Blues , Mike Post featuring Larry Carlton","The Theme From Hill Street Blues , Mike Post featuring Larry Carlton","Why Do Fools Fall In Love , Diana Ross","Why Do Fools Fall In Love , Diana Ross","Start Me Up , The Rolling Stones","Don't Stop Believin' , Journey","Don't Stop Believin' , Journey","Leather And Lace , Stevie Nicks With Don Henley","Trouble , Lindsey Buckingham","Trouble , Lindsey Buckingham"
